R Arnau;JM Calabuig;LM Garcia Raffi;EAS Perez;S Sanjuan;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;;
P Rueda;EAS Perez;;;;;
R Arnau;EAS Perez;;;;;
R Arnau;JM Calabuig;EAS Perez;;;;
JM Calabuig;AF Sapena;LM Garcia Raffi;MFP Mancebo;EAS Perez;;
R Arnau;JM Calabuig;EAS Perez;;;;
E Jimenez Fernandez;A Ferrer Sapena;EAS Perez;L Petrosyan;;;
A Ferrer Sapena;JM Calabuig;EAS Perez;C Vidal Cabo;;;
J Rodriguez Lopez;EAS Perez;;;;;
JM Calabuig;LM Garcia Raffi;A Garcia Valiente;EAS Perez;;;
L Agud;JM Calabuig;MA Juan;EAS Perez;;;
A Ferrer Sapena;EAS Perez;;;;;
EAS Perez;;;;;;
EAS Perez;R Szwedek;;;;;
EJ Fernandez;EAS Perez;D Werner;;;;
L Agud;JM Calabuig;EAS Perez;;;;
A Ferrer Sapena;EAS Perez;F Peset;LM Gonzalez;;;
O Blasco;JM Calabuig;EAS Perez;;;;
D Pellegrino;P Rueda;EAS Perez;;;;
LM Garcia Raffi;EJ Fernandez;EAS Perez;;;;
JA Lopez Molina;EAS Perez;;;;;
EAS Perez;;;;;;
EAS Perez;JS Marin;;;;;
EAS Perez;S Del Campo Canizares;;;;;
EAS Perez;;;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;;;
F Font Cot;P Lara Navarra;C Sanchez Arnau;EAS Perez;;;
JM Calabuig;EAS Perez;S Sanjuan;;;;
P Fernandez de Cordoba;CA Reyes Perez;C Sanchez Arnau;;;;
JM Calabuig;C Catalan;LM Garcia Raffi;EAS Perez;;;
R Arnau;JM Calabuig;EAS Perez;;;;
R Arnau;EAS Perez;S Sanjuan;;;;
C Vidal Cabo;EAS Perez;A Ferrer Sapena;;;;
M Mastylo;EAS Perez;;;;;
JM Calabuig Rodriguez;L Cotino Hueso;A Ferrer Sapena;;;;
R Arnau;JM Calabuig;A Gonzalez;EAS Perez;;;
AF Sapena;E Erdogan;EJ Fernandez;ES Arnau;EAS Perez;CV Cabo;
AR Arnau Notari;LM Garcia Raffi;JM Calabuig Rodriguez;;;;
EAS Perez;R Szwedek;;;;;
A Fernandez;J Manuel Sanchez Cuadrado;;;;;
AR Arnau Notari;JM Calabuig;E Erdogan;EAS Perez;;;
A Fernandez Carrion;JM Sanchez Cuadrado;EAS Perez;;;;
EAS Perez;;;;;;
E Sanchez Arnau;A Ferrer Sapena;EAS Perez;;;;
MD Fernandez Motilva;E Jimenez Fernandez;A Ferrer Sapena;;;;
EJ Fernandez;MDF Motilva;AF Sapena;EAS Perez;;;
AF Sapena;EAS Perez;;;;;
M Mastylo;EAS Perez;;;;;
JM Calabuig Rodriguez;E Jimenez Fernandez;EAS Perez;;;;
A Ferrer Sapena;F Peset;M Calabuig;C Vidal;A Fuster;;
A Ferrer Sapena;JM Calabuig;LM Garcia Raffi;EAS Perez;;;
MA Sanchez Dominguez;E Jimenez Fernandez;JM Chica Olmo;;;;
JM Calabuig;H Falciani;AF Sapena;LM Garcia Raffi;E Raso;IS del Toro;
AF Sapena;JM Calabuig;EAS Perez;CV Cabo;;;
JM Calabuig;M Fernandez Unzueta;F Galaz Fontes;EAS Perez;;;
O Delgado;M Mastylo;EAS Perez;;;;
AF Sapena;EAS Perez;;;;;
EJ Fernandez;MA Juan;EAS Perez;;;;
M Mastylo;EAS Perez;;;;;
JM Calabuig;H Falciani;EAS Perez;;;;
JM Calabuig;H Falciani;EAS Perez;;;;
JM Calabuig;H Falciani;LM Garcia Raffi;EAS Perez;;;
A Ferrer Sapena;EAS Perez;;;;;
A Ferrer Sapena;EAS Perez;F Peset;;;;
JM Calabuig;H Falciani;AF Sapena;LM Garcia Raffi;E Raso;IS del Toro;
EAS Perez;;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
R Aleixandre Benavent;A Ferrer Sapena;A Vidal Infer;A Alonso Arroyo;;;
O Delgado;EAS Perez;;;;;
O Delgado;EAS Perez;;;;;
M Mastylo;EAS Perez;;;;;
B Murillo Lopez;;;;;;
P Rueda;EAS Perez;;;;;
D Pellegrino;P Rueda;EAS Perez;;;;
P Donat;P Rueda;EAS Perez;;;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;;
X Blasco;G Reynoso Meza;EAS Perez;JVS Perez;;;
P Rueda;EAS Perez;;;;;
D Ginestar Peiro;E Sanabria Codesal;EAS Perez;;;;
R Aleixandre Benavent;A Ferrer Sapena;A Vidal Infer;A Alonso Arroyo;;;
EAS Perez;;;;;;
P Rueda;EAS Perez;;;;;
P Rueda;EAS Perez;;;;;
O Delgado;EA Perez;;;;;
P Rueda;EAS Perez;;;;;
E Dahia;D Achour;P Rueda;EA Perez;;;
EAS Perez;A Ferrer Sapena;;;;;
O Delgado Garrido;EAS Perez;;;;;
EAS Perez;;;;;;
EAS Perez;;;;;;
EAS Perez;;;;;;
JM Calabuig;OD Garrido;MA Juan;EAS Perez;;;
M Mastylo;EAS Perez;;;;;
S Okada;W Ricker;E Perez;;;;
A Anton;G de Julian;A Delicado;P Sanchez;D Valero;LM Garcia Raffi;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;
MA Juan;EAS Perez;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
C Palazuelos Cabezon;EAS Perez;P Tradacete Perez;;;;
EJ Fernandez;EA Perez;;;;;
EAS Perez;;;;;;
MA Juan Blanco;;;;;;
IJA Canas;ED Candel;LM Garcia Raffi;LL Ep Kadi Hahifi;MJP Penalver;;
R Campo Acosta;A Fernandez Carrion;F Mayoral Masa;;;;
JM Calabuig;LM Garcia Raffi;E Jimenez;EAS Perez;;;
P Tirado;L Garcia;MJ Perez;JR Lopez;SR Bonilla;EAS Perez;
O Delgado Garrido;EAS Perez;;;;;
R del Campo;A Fernandez;F Mayoral;F Naranjo;EAS Perez;;
S Oltra;S Romaguera;EAS Perez;;;;
JM Calabuig;OD Garrido;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Okada;WJ Ricker;EAS Perez;;;;
F Sanchez Martinez;MJ Lopez;M Nebot;C Ariza;F Centrich;;
R Campo Acosta;EAS Perez;;;;;
SR Bonilla;EAS Perez;OV Sierra;;;;
I Ferrando;S Okada;EAS Perez;;;;
JAL Molina;EAS Perez;;;;;
E Pieroni;E Perez;FXB Ferragud;JV Salcedo;MAM Iranzo;JVG Ortiz;
S Oltra;O Valero;EA Sanchez;;;;
EAS Perez;;;;;;
EAS Perez;;;;;;
JAL Molina;F Martmez Gimenez;MJ Rivera;EAS Perez;;;
EAS Perez;JS Marin;;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;
EAS Perez;;;;;;
LM Garcia Raffi;EAS Perez;FM Gimenez;;;;
EAS Perez;F Martinez;LM Garcia Raffi;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;
Gr E Checa F Roman;MARIN;EAS Perez;;;;
J Sanchez Marin;EAS Perez;;;;;
E Checa Martinez;;;;;;
EAS Perez;EA Martinez;;;;;
EAS Perez;;;;;;
NJ Perez;EAS Perez;;;;;
EAS Perez;;;;;;
