JM Rodriguez Gairin;L Gonzalez;F Peset;T Saorin;X Garcia Masso;
A Ferrer Sapena;JM Rodriguez Gairin;F Peset;T Baiget;I Subirats;
A Ferrer Sapena;;;;;
R Aleixandre Benavent;L Castello Cogollos;D Melero Fuentes;;;
R Albinana;JM Rodriguez Gairin;A Ferrer Sapena;L Millan Gonzalez;;
MFP Mancebo;RA Benavent;SD Gonzalvo;AF Sapena;;
F Peset;R Aleixandre Benavent;S Diago Gonzalvo;A Ferrer Sapena;;
A Ferrer Sapena;R Aleixandre Benavent;;;;
A Donate Cifuentes;F Peset;A Ferrer Sapena;C Garcia;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;
A Donate Cifuentes;F Peset;A Ferrer Sapena;C Garcia;;
A Donate;F Peset;A Ferrer Sapena;C Garcia;;
A Ferrer Sapena;;;;;
R Aleixandre Benavent;A Ferrer Sapena;A Vidal Infer;A Alonso Arroyo;;
A Garcia Garcia;A Pardo Ibanez;AF Sapena;F Peset;;
R Aleixandre Benavent;A Alonso Arroyo;A Vidal Infer;A Ferrer Sapena;;
F Peset;LM Gonzalez;M Villamon;A Ferrer Sapena;;
EAS Perez;A Ferrer Sapena;;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;A Ferrer Sapena;;
AG Garcia;AP Ibanez;AF Sapena;MFP Mancebo;LMG Moreno;
E Abadal;P Aceituno Aceituno;A Afuera;IF Aguillo;J Alberich Pascual;
A Ferrer Sapena;;;;;
F Peset;A Ferrer Sapena;;;;
M Villamon;R Aleixandre;F Peset;A Ferrer Sapena;M Pellicer;LM Gonzalez
MA NAVARRO MORENO;M Ayala Gascon;Y Blasco Gil;;;
MV Herrera;RA Benavent;MFP Mancebo;A Ferrer Sapena;MP Chenoll;
R Aleixandre Benavent;A Ferrer Sapena;AA Arroyo;F Peset;;
A Garcia Garcia;X Garcia Masso;A Ferrer Sapena;;;
R Aleixandre Benavent;D Ribeiro Schneider;FJ Bueno Canigral;;;
YB Gil;F Peset;AF Sapena;;;
YB Gil;F Peset;AF Sapena;MA Gascon;RA Benavent;SG Gordillo
A Garcia Garcia;R Aleixandre Benavent;A Ferrer Sapena;M Villamon;;
T Saorin;F Peset;A Ferrer Sapena;;;
A Gandia Balaguer;R Aleixandre Benavent;F Peset Mancebo;;;
Y Blasco Gil;F Peset Mancebo;A Ferrer Sapena;;;
F Peset;A Ferrer Sapena;MT Moreno;;;
AG Garcia;JM Rodriguez Gairin;TS Perez;AF Sapena;MFP Mancebo;
C Gonzalez Copeiro;J Serrano Munoz;A Garcia Garcia;;;
M Vassallo;I Bello;L Hamana;A Ferrer Sapena;F Rojas;H Cantele
T Baiget;A Ferrer Sapena;A De Robbio;D Le Henaff;J Santillan;F Peset
I Subirats Coll;A Ferrer Sapena;T Baiget;A di Robbio;G Tsakonas;
R Aleixandre Benavent;M Ayala Gascon;A Ferrer Sapena;;;
SC Ferrer;FP Mancebo;AF Sapena;JG de Dios;R Aleixandre Benavent;
R Aleixandre Benavent;A Alonso Arroyo;M Ayala Gascon;Y Blasco Gil;;
JM Rodriguez Gairin;A Ferrer Sapena;T Baiget;A De Robbio;;
M Moreno;P Benlloch;A Ferrer Sapena;F Peset;;
LM Gonzalez Moreno;F Peset;A Ferrer Sapena;R Aleixandre Benavent;;
LM Gonzalez;F Peset;A Ferrer Sapena;R Aleixandre Benavent;;
AF Sapena;MFP Mancebo;MTM Nunez;;;
AF Sapena;MFP Mancebo;MTM Nunez;;;
F Peset;A Ferrer Sapena;R Aleixandre Benavent;;;
T Baiget;;;;;
T Baiget;J Alonso Arevalo;A Ferrer Sapena;F Peset;;
T Baiget;J Alonso Arevalo;A Ferrer Sapena;F Peset;;
E Orduna Malea;F Peset;A Ferrer Sapena;;;
I Subirats Coll;T Baiget;A Ferrer Sapena;F Peset;JM Rodriguez Gairin;
F Peset;A Ferrer Sapena;;;;
F Peset;A Ferrer Sapena;;;;
AF Sapena;MFP Mancebo;;;;
F Peset;A Ferrer Sapena;;;;
I Subirats;T Baiget;A Ferrer Sapena;F Peset Mancebo;;
F Peset;A Ferrer Sapena;;;;
F Peset;A Ferrer Sapena;N Lloret Romero;L Tolosa Robledo;;
A Ferrer Sapena;N Lloret Romero;F Peset;;;
F Peset;M Moreno;A Ferrer Sapena;;;
A Ferrer Sapena;J Guallar;;;;
A Ferrer Sapena;;;;;
P Lara Navarra;A Ferrer Sapena;;;;
JM Baez;F Peset;F Nunez;A Ferrer Sapena;;
A Ferrer Sapena;;;;;
P Lara Navarra;A Ferrer Sapena;;;;
T Baiget;JM Rodriguez Gairin;F Peset;I Subirats;A Ferrer Sapena;
F Peset;A Ferrer Sapena;T Baiget;JM Rodriguez Gairin;;
A Ferrer Sapena;F Peset;;;;
A Ferrer Sapena;;;;;
A Ferrer Sapena;;;;;
AF Sapena;JA Ontalba;MFP Mancebo;;;
BS Vaquero;EA Valiente;FO Jimenez;CM Serrano;MB Raposo;
AF Sapena;;;;;
A Ferrer Sapena;;;;;
MF Peset MANCEBO;A Ferrer Sapena;N LLORET ROMERO;;;
MT Moreno Nunez;MF Peset Mancebo;S Diaz Novillo;N Lloret Romero;;
F Peset;A Ferrer Sapena;N Lloret Romero;F Peset;A Ferrer Sapena;
N Lloret Romero;M CABRERA MENDEZ;MF Peset MANCEBO;;;
AF Sapena;NL Romero;FP Mancebo;;;
S Diaz Novillo;A Ferrer Sapena;;;;
F Peset;JM Barrueco Cruz;I Subirats Coll;F Peset;JM Barrueco Cruz;
AF Sapena;;;;;
F Lopez Kostner;A Zuniga Diaz;A Rahmer Ovalle;P De la Paz;A Ferrer Sapena;
F Peset;A Ferrer Sapena;T Baiget;;;
RA Benavent;AF Sapena;F Peset;;;
A Ferrer Sapena;F Peset Mancebo;I Subirats Coll;;;
MFP Mancebo;JMB Cruz;IS Coll;NN Domenech;AF Sapena;
R Aleixandre Benavent;A Ferrer Sapena;A Vidal Infer;P Cisneros;;
T Baiget;J Alonso Arevalo;A Ferrer Sapena;F Peset;;
F Peset;CV Cabo;DA Mora;R Aleixandre Benavent;A Ferrer Sapena;
EAS Perez;C Vidal Cabo;A Ferrer Sapena;JM Calabuig;;
P Masip;AF Sapena;;;;
MF Peset Mancebo;D Arroyo Mora;R Aleixandre Benavent;;;
MF Peset Mancebo;C Vidal Cabo;D Arroyo Mora;;;
A Ferrer Sapena;;;;;
A Ferrer Sapena;;;;;
G Casino;P Masip;C Ruiz Caballero;J Suau;D Catalan Matamoros;
VG Rams;LC Cogollos;AF Sapena;R Aleixandre Benavent;;
F Peset;A Donate Cifuentes;A Ferrer Sapena;;;
M Moreno;F de la Puente;P Benlloch;A Domeno;A Ferrer Sapena;F Peset
