A Mehrem;N Jimenez;L Salmeron;X Garcia-Andres;LM Garcia Raffi;;;
V Romero-Garcıa;JO Vasseur;LM Garcia Raffi;AC Hladky-Hennion;;;;
LM Garcia Raffi;EAS Perez;MS Novales;;;;;
LM Garcia Raffi;;;;;;;
EAS Perez;O Valero;S Pueblas;JV Sanchez-Perez;LM Garcia Raffi;;;
S Pueblas;LM Garcia Raffi;EAS Perez;JV Sanchez Perez;;;;
AD Llamazares;LM Garcia Raffi;EAS Perez;JV Sanchez Perez;;;;
JVS Perez;EAS Perez;LM Garcia Raffi;;;;;
M Lazaro;R Wiltshaw;RV Craster;LM Garcia Raffi;;;;
R Arnau;JM Calabuig;LM Garcia Raffi;EAS Perez;S Sanjuan;;;
JM Calabuig;A Ferrer Sapena;LM Garcia Raffi;MFP Mancebo;EAS Perez;;;
JJ Aguilar-Fuertes;F Noguero-Rodriguez;JC Jaen-Ruiz;LM Garcia Raffi;;;;
JM Calabuig;LM Garcia Raffi;A Garcia-Valiente;EAS Perez;;;;
LM Garcia Raffi;LJ Salmeron-Contreras;N Jimenez;M Ahmed;;;;
I Herrero-Dura;R Pico;VJ Sanchez-Morcillo;LM Garcia Raffi;;;;
LM Garcia Raffi;LJ Salmeron-Contreras;I Herrero-Dura;R Pico Vila;;;;
A Mehrem;R Pico Vila;V Sanchez Morcillo;LM Garcia Raffi;;;;
I Herrero-Dura;R Pico Vila;V Sanchez Morcillo;LM Garcia Raffi;;;;
C Gallart;I Ferrando;LM Garcia Raffi;L Albarracin;N Gorgorio;;;
LM Garcia Raffi;EJ Fernandez;EAS Perez;;;;;
V Romero-Garcia;R Pico;A Cebrecos;LM Garcia Raffi;;;;
I Ferrando;LM Garcia Raffi;J Gomez;L Sierra;;;;
LS Galdon;LM Garcia Raffi;JG Urgelles;;;;;
SC Ibanez;CR Michavilla;JVS Perez;VR Garcia;LM Garcia Raffi;;;
LM Garcia Raffi;V Romero-Garcia;JV Sanchez-Perez;;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;;;;
JM Calabuig;C Catalan;LM Garcia Raffi;EAS Perez;;;;
Y Jin;D Torrent;B Djafari-Rouhani;L He;Y Xiang;FZ Xuan;Z GU;H Xue
M Lazaro;LM Garcia Raffi;;;;;;
MS Escarti-Guillem;S Hoyas;LM Garcia Raffi;;;;;
R Arnau;LM Garcia Raffi;JM Calabuig Rodriguez;;;;;
MS Escarti-Guillem;S Hoyas;LM Garcia Raffi;;;;;
A Niemczynowicz;RA Kycia;M Jaworski;A Siemaszko;JM Calabuig;;;
A Ferrer Sapena;F Peset;M Calabuig;C Vidal;A Fuster;;;
S Treacy-Abarca;J Mercado;J Serrano;J Gonzalez;NR Guerra;;;
A Ferrer Sapena;JM Calabuig;LM Garcia Raffi;EAS Perez;;;;
LM Garcia Raffi;V Romero-Garcia;;;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;E Raso;IS del Toro;;
A Chang;C Perez;L Raffi;T Eurick;A Sanchez;J Mercado;V Garcia;
I Herrero-Dura;AC Ruiz;LM Garcia Raffi;V Romero-Garcia;;;;
V Romero-Garcia;N Lamothe;G Theocharis;O Richoux;LM Garcia Raffi;;;
LM Garcia Raffi;M Lazaro;A Niemczynowicz;V Romero-Garcia;;;;
V Romero-Garcia;N Lamothe;G Theocharis;O Richoux;LM Garcia Raffi;;;
I Herrero-Dura;A Cebrecos;VR Garcıa;LM Garcia Raffi;N Jimenez;R Pico;;
LM Garcia Raffi;N Lamothe;O Richoux;G Theocharis;V Romero-Garcia;;;
N Jimenez;V Romero-Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
JM Calabuig;H FALCIANI;LM Garcia Raffi;EAS Perez;;;;
C Gallart Palau;I Ferrando Palomares;LM Garcia Raffi;;;;;
N Jimenez;V Romero-Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
JM Calabuig;H Falciani;A Ferrer Sapena;R Arnau, AR Arnau Notari, AR Arnau-Notari;E Raso;EAS Perez;;
I Herrero-Dura;R Pico;VJ Sanchez-Morcillo;LM Garcia Raffi;;;;
LM Garcia Raffi;L Salmeron-Contreras;I Herrero-Dura;R Pico;J Redondo;;;
JFR Archilla;YA Kosevich;YO Zolotaryuk;V Sanchez Morcillo;N Jimenez;;;
I Herrero Dura;R Pico Vila;V Sanchez Morcillo;LM Garcia Raffi;;;;
LJ Salmeron Contreras;LM Garcia Raffi;N Jimenez;A Mehrem;;;;
A Mehrem;V Sanchez Morcillo;N Jimenez;LJ Salmeron Contreras;;;;
R Pico Vila;I Herrero-Dura;V Sanchez Morcillo;LJ Salmeron-Contreras;;;;
LJS Contreras;LM Garcia Raffi;N Jimenez;AMIM Mehrem;R Pico;;;
A Mehrem;N Jimenez;LJ Salmeron-Contreras;X Garcia-Andres;R Pico;;;
LJ Salmeron-Contreras;LM Garcia Raffi;N Jimenez;A Mehrem;R Pico;;;
I Herrero Dura;JJ Zaragoza Dolz;R Pico Vila;V Sanchez Morcillo;;;;
N Jimenez;VJ Sanchez-Morcillo;A Mehrem;EM Hamham;R Pico;;;
I Herrero-Dura;J Zaragoza;R Pico;V Sanchez Morcillo;LM Garcia Raffi;;;
JFR Archilla;YA Kosevich;N Jimenez;V Sanchez Morcillo;;;;
RF Efendiev;LM Garcia Raffi;;;;;;
JFR Archilla;V Sanchez Morcillo;G Raffi;M Luis;N Jimenez;;;
N Jimenez;V Sanchez Morcillo;LM Garcia Raffi;JFR Archilla;;;;
CG Palau;LM Garcia Raffi;;;;;;
A Anton;G de Julian;A Delicado;P Sanchez;D Valero;LM Garcia Raffi;...;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;;;
V Romero-Garcia;R Pico;JO Vasseur;AC Hladky;V Sanchez Morcillo;...;;
R Pico;V Romero-Garcia;V Sanchez Morcillo;A Cebrecos;;;;
LM Garcia Raffi;MJ Perez Penalver;E Ponsoda Miralles;;;;;
A Cebrecos;V Romero-Garcia;R Pico;V Snchez-Morcillo;;;;
V Romero Garcia;LM Garcia Raffi;J Vasseur;AC Hladky-Hennion;;;;
V Romero-Garcıa;JO Vasseur;AC Hladky-Hennion;LM Garcia Raffi;;;;
LM Garcia Raffi;V Romero-Garcia;;;;;;
JV Sanchez Perez;LM Garcia Raffi;V Romero Garcia;;;;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;;
IJA Canas;ED Candel;LM Garcia Raffi;LL Ep-Kadi-Hahifi;MJP Penalver;;;
JM Calabuig;LM Garcia Raffi;E Jimenez;EAS Perez;;;;
R Pico;VR Garcia;VJS Morcillo;LM Garcia Raffi;JVS Perez;K Staliunas;;
CR Michavilla;SC Ibanez;JVS Perez;VR Garcia;LM Garcia Raffi;;;
VR Garcia;R Pico;IP Arjona;JR Pastor;VE Rosello;LM Garcia Raffi;;
LM Garcia Raffi;MJP Penalver;EP Miralles;J Rodriguez-Lopez;SR Vivo;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
V Sanchez Morcillo;R Pico;LM Garcia Raffi;JV Sanchez Perez;;;;
S Castineira-Ibanez;V Romero-Garcia;JV Sanchez-Perez;;;;;
V Romero Garcia;A Krynkin;LM Garcia Raffi;;;;;
VR Garcia;A Krynkin;LM Garcia Raffi;;;;;
EF Garcia;V Romero-Garcia;LM Garcia Raffi;JV Sanchez-Perez;;;;
EF Garcia;V Romero-Garcia;LM Garcia Raffi;JV Sanchez-Perez;;;;
EF Garcia;V Romero-Garcia;LM Garcia Raffi;JV Sanchez-Perez;;;;
E Fuster-Garcia;V Romero-Garcia;LM Garci  a-Raffi;;;;;
V Romero-Garcia;E Fuster-Garcia;LM Garcia Raffi;JV Sanchez-Perez;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;O Valero;;;;
LM Garcia Raffi;;;;;;;
LM Fraile;MJG Borge;H Mach;AJ Aas;R Boutami;B Fogelberg;;
LM Garcia Raffi;;;;;;;
LM Garcia Raffi;;;;;;;
