E Ballestero;J Rodriguez Sendra;JP Groby;V Romero Garcia;;;;
J Ealo;D Muelas Hurtado;A Duclos;V Romero Garcia;;;;
J Boulvert;T Cavalieri;V Romero Garcia;G Gabard;JP Groby;;;
J Boulvert;G Gabard;V Romero Garcia;JP Groby;;;;
S Qu;N Gao;A Tinel;B Morvan;V Romero Garcia;JP Groby;P Sheng;
JP Groby;C Olivier;G Poignand;M Mallejac;V Romero Garcia;G Penelet;;
M Mallejac;P Sheng;V Tournat;V Romero Garcia;JP Groby;;;
Y Meng;V Romero Garcia;G Gabard;JP Groby;C Bricault;S Goude;;
A Pelat;J Plisson;V Romero Garcia;F Gautier;;;;
N Aberkane Gauthier;D Lecoq;C Pezerat;V Romero Garcia;;;;
T Cavalieri;V Romero Garcia;M Melon;JC Chamard;JP Groby;;;
G Raybaud;M Ouisse;A Pelat;J Leng;JP Groby;V Romero Garcia;;
JP Groby;M Mallejac;T Cavalieri;V Romero Garcia;A Merkel;D Torrent;;
E Ballestero;B Hamilton;N Jimenez;V Romero Garcia;JP Groby;;;
N Jimenez;J Ealo;R Muelas Hurtado;A Duclos;V Romero Garcia;;;
V Romero Garcia;;;;;;;
J Boulvert;J Costa Baptista;ER Fotsing;T Cavalieri;V Romero Garcia;;;
M Mallejac;A Merkel;V Tournat;V Romero Garcia;JP Groby;;;
J Boulvert;T Cavalieri;J Costa Baptista;L Schwan;V Romero Garcia;;;
V Romero Garcia;JLE Cuello;R Muelas Hurtado;A Duclos;N Jimenez;;;
V Romero Garcia;;;;;;;
N Aberkane Gauthier;D Lecoq;C Lagarrigue;C Pezerat;;;;
O Dazel;S Felix;S Raetz;V Romero Garcia;V Tournat;;;
V Romero Garcia;M Mallejac;A Geslain;AAF Marin;N Jimenez;;;
N Jimenez;T Cox;JM Requena;JP Groby;V Romero Garcia;;;
E Ballestero;V Romero Garcia;JP Groby;N Jimenez;S Dance;H Aygun;;
LM Garcia Raffi;V Romero Garcia;;;;;;
V Romero Garcia;V Pagneux;JP Groby;N Jimenez;E Ballestero;;;
V Romero Garcia;N Jimenez;G Theocharis;V Achilleos;A Merkel;;;
