G Munoz-Gil;G Volpe;MA Garcia-March;E Aghion;A Argun;CB Hong
S Santos;JM Rojas;P Romero;M Lozano;JA Conejero;
C Perez-Benito;C Jordan;JA Conejero;S Morillas;;
CB Martin;JA Conejero;;;;
JA Conejero;A Perez-Gomez;A Fornes-Serra;A Molina-Marco;;
JA Conejero;E Garcia;V Vivancos;;;
JA Conejero;J Juan-Huguet;S Morillas;J Mas;E Vendrell;
JA Conejero;EM Mangino;;;;
MI Liaqat;ZA Khan;JA Conejero;A Akgul;;
J Moreno-Malo;JL Posadas-Yague;JC Cano;CT Calafate;JA Conejero;
MEI Martinez;J Antonino Daviu;L Dunai;CA Platero;JA Conejero;
JA Conejero;O Garibo i Orts;C Lizama;;;
S De Maria-Garcia;A Ferrando;JA Conejero;PF De Cordoba;;
JA Conejero;A Falco;M Mora Jimenez;;;
JA Conejero;M Murillo Arcila;JM Seoane;JB Seoane Sepulveda;;
MEI Martinez;J Antonino Daviu;C Platero;L Dunai;A Conejero;
PA Solares-Hernandez;MA Garcia-March;JA Conejero;;;
D Fuente;O Garibo i Orts;JA Conejero;JF Urchueguia;;
JA Conejero;E Hernandez-Orallo;P Manzoni;M Murillo Arcila;;
L Bernal-Gonzalez;JA Conejero;G Costakis;JB Seoane Sepulveda;;
J Ruiz Calvo;S Lopez Fernandez;;;;
MC Bachiller Martin;JA Conejero;;;;
A Velichko;JA Conejero;Y Izotov;VT Pham;;
ME Iglesias Martinez;J Antonino Daviu;L Dunai;JA Conejero;;
ZA Khan;MI Liaqat;A Akgul;JA Conejero;;
O Garibo i Orts;C Lizama;A Akgul;JA Conejero;;
D Domingo-Calabuig;S Hoyas;R Vinuesa;JA Conejero;;
SB Ivars;YV Kartashov;PF Cordoba;JA Conejero;L Torner;CM i Enrique
RV Arevalo;JA Conejero;O Garibo i Orts;A Peris;;
M Farman;A Akgul;JA Conejero;A Shehzad;KS Nisar;D Baleanu
A Begga;O Garibo i Orts;S de Maria-Garcia;F Escolano;MA Lozano;
J Guerra-Carmenate;MEI Martinez;PMV Pla;JAA Daviu;L Dunai;
P Varelas;F Larosa;S Hoyas;JA Conejero;F Contino;F Fuso-Nerini
SB Ivars;YV Kartashov;PF De Cordoba;JA Conejero;L Torner;C Milian
P Parra-Rivas;S Hetzel;YV Kartashov;PF De Cordoba;JA Conejero;
T Soria Comes;S Asensio Cuesta;I Maestu-Maiques;A Sanchez Garcia;;
MA Lozano;OG i Orts;E Pinol;M Rebollo;K Polotskaya;
