title,journal,year
Functional Analysis and Continuous Optimization: In Honour of Juan Carlos Ferrando's 65th Birthday Elche Spain June 16 17 2022,Springer,2023.0
The Mathematical Research of Juan Carlos Ferrando Check for updates,Functional Analysis,2023.0
Equivalences with the separable quotient problem,,2022.0
A Survey on Valdivia Open Question on Nikodym Sets,Mathematics Journal,2022.0
On Nikodym Grothendieck Vitali Hahn Saks and Valdivia measure theorems,Conferencia,2022.0
The Mathematical Research of Juan Carlos Ferrando,Conferencia,2022.0
Jorge Juan y Antonio de Ulloa en el problema de la forma de la Tierra,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2022.0
Baire type properties in c0 (I X),,2021.0
Some Applications of Grothendieck Sets,BP International,2020.0
On the Grothendieck property for algebras of sets,Conferencia,2019.0
On Nikodym and Rainwater sets for Banach spaces of measures,Conferencia,2019.0
Infinite Dimensional,,2018.0
On spaces.,Mathematische Nachrichten,2017.0
Paradojas y la duplicacion de la superficie esferica,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2017.0
Recuerdo al Excmo. Sr. D. Dario Maravall Casesnoves academico de honor de la Real Academia de Cultura Valenciana (1923 2016),Anals de la Real Academia de Cultura Valenciana,2017.0
5th Workshop on Functional Analysis 15,,2017.0
recuerdo de Julio rey Pastor.,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2015.0
In memoriam: Manuel Valdivia Urena,La Gaceta de la Real Sociedad Matematica Espanola,2014.0
In memoriam: Manuel Valdivia Urena (1928 2014),Gaceta de la Real Sociedad Matematica Espanola,2014.0
Some Aspects in the MathematicalWork of Jerzy K a kol,Descriptive Topology and Functional Analysis,2014.0
Homenaje a Turing: de las maquinas de Turing a problemas criptograficos,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2013.0
Las matematicas de Jorge Juan,,2012.0
Elementos finitos en problemas mecanicos,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2012.0
Webs and barrelledness,,2011.0
Developments in Mathematics,Springer,2011.0
Elementos finitos en fenomenos de transmision,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2011.0
Metrizability of Compact Sets in the Class,Descriptive Topology and Functional Analysis,2011.0
Weakly Analytic Spaces,Descriptive Topology and Functional Analysis,2011.0
K analytic and Analytic Spaces Cp(X),Descriptive Topology and Functional Analysis,2011.0
Frechet Urysohn Spaces and Groups,Descriptive Topology and Functional Analysis,2011.0
Weakly Realcompact Locally Convex Spaces,Descriptive Topology and Functional Analysis,2011.0
Tightness and Distinguished Frechet Spaces,Descriptive Topology and Functional Analysis,2011.0
K analytic and Quasi Suslin Spaces,Descriptive Topology and Functional Analysis,2011.0
Elementary Facts about Baire and Baire Type Spaces,Descriptive Topology and Functional Analysis,2011.0
Banach Spaces with Many Projections,Descriptive Topology and Functional Analysis,2011.0
Strongly Web Compact Spaces and a Closed Graph Theorem,Descriptive Topology and Functional Analysis,2011.0
A Three Space Property for Analytic Spaces,Descriptive Topology and Functional Analysis,2011.0
Web Compact Spaces and Angelic Theorems,Descriptive Topology and Functional Analysis,2011.0
K analytic Baire Spaces,Descriptive Topology and Functional Analysis,2011.0
Compact Spaces Generated by Retractions,Descriptive Topology and Functional Analysis,2011.0
Precompact Sets in (LM) Spaces and Dual Metric Spaces,Descriptive Topology and Functional Analysis,2011.0
Complementably Universal Banach Spaces,Descriptive Topology and Functional Analysis,2011.0
Sequential Properties in the Class,Descriptive Topology and Functional Analysis,2011.0
Spaces of Continuous Functions over Compact Lines,Descriptive Topology and Functional Analysis,2011.0
Astronomia y mecanica celeste en Munoz Zaragoza y Laplace,,2010.0
Los numeros base de la Ciencia y de la transmision actual de la informacion,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2010.0
About an example of a Banach space not weakly K analytic,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2009.0
El ultimo teorema de Fermat: un enigma entre calculo e ideas desde 1630 a 1994,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2009.0
East and west in the mathematics science formation (and 2nd part),DYNA,2008.0
Oriente y occidente en la formacion de la ciencia matematica (y 2a parte),DYNA,2008.0
¿ Donde esta hoy la Matematica?,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2008.0
Compact coverings for Baire locally convex spaces,Journal of Mathematical Analysis and Applications,2007.0
 Tres insignes ilustrados: Bethencourt Euler y Jorge Juan: Conferencia de apertura del curso en la Academia Canaria de Ciencias,Revista de la Academia Canaria de Ciencias,2007.0
Oriente y Occidente en la formacion de la ciencia (Parte 1),DYNA,2007.0
On bounded and compact resolutions in topological vector spaces. Applications in Cp(X),,2007.0
Tres insignes ilustrados: Bethencourt Euler y Jorge Juan,Revista de la Academia Canaria de Ciencias,2007.0
Tres insignes ilustrados: Bethencourt Euler y Jorge Juan. Conferencia de apertura del Curso 2007 2008 de la Academia de Ciencias de Tenerife 21 de enero de 2008,Revista de la Academia Canaria de Ciencias,2007.0
La ilustracion en el pensamiento matematico,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2007.0
Matematicas y ordenadores en el conocimiento del mundo (y Parte II),DYNA,2006.0
Matematicas y ordenadores en el conocimiento del mundo,DYNA,2006.0
Oriente y Occidente en la formacion de la Ciencia,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2005.0
Presentacion de la obra de H. Poincare,,2004.0
John Von Neumann (1903 1957) Introduction,Arbor,2003.0
Unitary sequences and classes of barrelledness,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2003.0
Complemented copies of c0 in C0,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2001.0
Academico Correspondiente,Conferencia,1998.0
J. C. Ferrando M. Lopez Pellicer and L. M. Sanchez Ruiz Metrizable barrelled spaces (Pitman Research Notes in Mathematics Series Vol. 332 Longman Harlow),Proceedings of the Edinburgh Mathematical Society,1997.0
Expository surveys,American Mathematical Society,1997.0
Algebras of sets generating non barrelled spaces,Periodica Mathematica Hungarica,1994.0
Some properties of continuous function spaces,Portugaliae Mathematica,1992.0
Barrelled spaces of class 0,Conferencia,1991.0
Barrelled spaces of class No which are mot totally barrelled,Conferencia,1991.0
Compact contractive projections in continuous function spaces.,Michigan Mathematical Journal,1991.0
On linearly barrelled spaces,Conferencia,1990.0
On linearly barrelled spaces,Conferencia,1990.0
Barreled spaces of class n and of class Xo,No indexada,1989.0
Topologias fuertes en espacios lineal mente topologizados de funciones continuas,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1989.0
Barrelled Spaces of Class N and of Class ,Universidad Nacional de Educacion a Distancia. Departamento de Matematicas,1989.0
Teoremas de insercion en espacios topologicos,Conferencia,1985.0
Productos de espacios I Baires convexos,Conferencia,1985.0
Una nota sobre la propiedad de Blumberg.,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1984.0
Inmersion en espacios cuasiseudometricos y cuasiuniformes.,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1982.0
Una caracterizacion de los espacios topologicos de Moore,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1982.0
Sobre el teorema de inmersion de Mrowka.,Revista Matematica Hispanoamericana,1981.0
La normalidad de un espacio topologico no es una propiedad local,,1980.0
Desarrollos asintoticos y familias compactas de funciones holomorfas con valores vectoriales,Universitat de Valencia,1969.0
Covering properties of Cp (Y| X),,
Functional Analysis and Continuous Optimization,,
Descriptive Topology in Selected Topics of Functional Analysis,,
Survey on Baire type properties in metrizable c0 (I X),,
Conjuntos absolutamente convexos en espacios infratonelados,,
Un ejemplo de un C(X) metrizable ultrabornologico y no completo,,
Topological groups and spacesC(X) with ordered bases,,
Complemented copies of c0 in C0,,
On properties G N and wN in Boolean rings,,
Banach Steinhaus y los desarrollos ortogonales.,,
Sobre unas propiedades de los espacios C(X) no hereditarias en los espacios C*(X),,
Ciencia para todos 2012,,
On suprabarrelledness of c0 (I X),,
Del seminario de matematicas fundamentales,,
Kvalita casopisu: na (AIS) na (SJR) Citovanost pocet: 56 kvartil: na Kvalita,,
On the separable quotient problem,,
