title,journal,year
Mathematical modelling and experimental verification of the thermal insulation properties of coating solutions. Applications for Buildings,Conferencia,2018.0
Boltzmann entropy the holographic bound and Newtonian cosmology,,2017.0
Desarrollo de habilidades de modelacion desde las ecuaciones mas simples de la Hidrodinamica,Conferencia,2017.0
Analisis estadistico y modelado matematico del tiempo de respuesta en tareas de atencion por sujetos con TDAH frente a sujetos CON,Conferencia,2017.0
Una experiencia de cooperacion cientifica entre Cuba y Espana basada en la formacion en matematicas: Consideraciones para la construccion de un modelo efectivo,,2016.0
La ecuacion de Schrodinger en el contexto de la mecanica de fluidos,Revista Cubana de Fisica,2016.0
Transparent Boundary Condition for Oseen-Frank Model. Application for NLC Cells With Patterned Electrodes,Journal of Physics: Conference Series,2015.0
Generation and evaluation of a genome-scale metabolic network model of synechococcus elongatus PCC7942,Metabolites. Basel. Vol.,2014.0
La regla de Simpson con mallados generales e integrales impropias,,2013.0
A modular synthetic device to calibrate promoters,Journal of Biological Systems,2012.0
Propuesta metodologica para medir el impacto de la capacitacion en organizaciones turisticas cubanas: estudio de caso provincia de Pinar del Rio,Estudios Turisticos,2011.0
Methodological proposal for measuring the impact of training in Cuban tourist organizations. Case study in the province of Pinar del Rio.,,2011.0
Modeling nonlinear waves in photonics plasmonics and cold atoms,Optica pura y aplicada. Revista en espanol de optica y fotonica,2011.0
El equipo Valencia-iGEM disena y construye la primera pantalla biologica,Matematicalia,2010.0
Climatizacion geotermica: una alternativa renovable para la refrigeracion y calefaccion de edificios,,2008.0
Photonic systems acting as magnetic solids,,2007.0
El fenomeno de las oscilaciones de neutrinos,Boletin de la Sociedad Mexicana de Fisica,2007.0
Neutrino masses and mixing parameters in a left-right model with mirror fermions,Arxiv preprint arXiv:,2006.0
On Coatmelec Lattices for Multivariate Polynomial Interpolation,,2006.0
Isis Alejandra Camargo Toribio,,2005.0
Spatial effects in nonlinear photonic crystal fibers,,2005.0
Discrete-symmetry and angular pseudo-momentum in nonlinear photonic crystals,Conferencia,2005.0
Determination of the preferences of international customers for the practice of rural tourism in the Republic of Cuba,PASOS Revista de Turismo y Patrimonio Cultural,2005.0
Study of the heritage of the town of Vinales Republic of Cuba for the introduction of rural tourism,CUADERNOS DE TURISMO,2005.0
Determination of the preferences of international clients for rural tourism experiences in the Republic of Cuba,,2005.0
Modelo matematico del terreno. Aplicaciones forestales,Revista Forestal Baracoa,2005.0
Programa de acciones estrategicas para la introduccion del turismo rural en la zona de Vinales Republica de Cuba: analisis del caso gallego,Estudios Turisticos,2004.0
Programme of strategic actions for the introduction of rural tourism in the area of Vinales Republic of Cuba.,,2004.0
Simulation of Spatial Solitons in Photonic Crystal Fibers,American Institute of Physics,2003.0
Problema de rutas en caminos forestales considerando multiples criterios,Conferencia,2003.0
Los neutrinos de una Supernova: El mecanismo de explosion de una supernova,,2002.0
Ansatz independent solution of a soliton in a strong dispersion-management system,American Institute of Physics,2001.0
Routing problems revisited: path integral formalism and Monte Carlo methods,Computer Physics Communications,1999.0
Computer simulation of the electromagnetic propagation in optical fibers using a novel biorthogonal-basis model method,Computer Physics Communications,1999.0
The role of N* resonance in two pion production,,1998.0
