"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Bianchessi N.; Corberán Á.; Plana I.; Reula M.; Sanchis J.M.","Bianchessi, Nicola (14061905100); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Reula, Miguel (57207842302); Sanchis, José M. (20434770000)","14061905100; 6602151261; 8574390900; 57207842302; 20434770000","The min-max close-enough arc routing problem","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119211299&doi=10.1016%2fj.ejor.2021.10.047&partnerID=40&md5=bbaf017b0dbea6455d941a280c4eb4c4","Elsevier B.V."
"Benavent E.; Carrotta A.; Corberán A.; Sanchis J.M.; Vigo D.","Benavent, Enrique (6602990935); Carrotta, Alessandro (14830955000); Corberán, Angel (6602151261); Sanchis, José M. (20434770000); Vigo, Daniele (7004088556)","6602990935; 14830955000; 6602151261; 20434770000; 7004088556","Lower bounds and heuristics for the Windy Rural Postman Problem","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749546028&doi=10.1016%2fj.ejor.2005.09.021&partnerID=40&md5=ab718b65d026b2f0c611e6d36cae10ee",""
"Colombi M.; Corberán Á.; Mansini R.; Plana I.; Sanchis J.M.","Colombi, Marco (56166931600); Corberán, Ángel (6602151261); Mansini, Renata (6603555991); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","56166931600; 6602151261; 6603555991; 8574390900; 20434770000","The hierarchical mixed rural postman problem","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019719233&doi=10.1287%2ftrsc.2016.0686&partnerID=40&md5=eada0cfb76ead906d999f3bf5b8f2e5d","INFORMS Inst.for Operations Res.and the Management Sciences"
"Ávila T.; Corberán Á.; Plana I.; Sanchis J.M.","Ávila, Thais (55154337900); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","55154337900; 6602151261; 8574390900; 20434770000","Formulations and exact algorithms for the distance-constrained generalized directed rural postman problem","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027694007&doi=10.1007%2fs13675-015-0053-8&partnerID=40&md5=210e98f9072c6325d96a1ae9adc331d5","Springer Verlag"
"Campbell J.; Corberán Á.; Plana I.; Sanchis J.M.; Segura P.","Campbell, James (25123472800); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Segura, Paula (57219941447)","25123472800; 6602151261; 8574390900; 20434770000; 57219941447","Polyhedral analysis and a new algorithm for the length constrained K–drones rural postman problem","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132326115&doi=10.1007%2fs10589-022-00383-x&partnerID=40&md5=428c61421827d47afe8de63420eb4575","Springer"
"Benavent E.; Corberán A.; Sanchis J.M.","Benavent, Enrique (6602990935); Corberán, Ángel (6602151261); Sanchis, J.M. (20434770000)","6602990935; 6602151261; 20434770000","A metaheuristic for the min-max windy rural postman problem with K vehicles","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954089668&doi=10.1007%2fs10287-009-0119-2&partnerID=40&md5=6ce64c1e44ea0ba018732ea8139dc7e2",""
"Ávila T.; Corberán Á.; Plana I.; Sanchis J.M.","Ávila, Thais (55154337900); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","55154337900; 6602151261; 8574390900; 20434770000","An ILS-based metaheuristic for the stacker crane problem","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859146310&doi=10.1007%2f978-3-642-29124-1_3&partnerID=40&md5=fe945be2ce6e1fd5b43e4d4fe4402d85",""
"Sánchez F.; Sanchis J.M.","Sánchez, Francisco (12787653300); Sanchis, José María (20434770000)","12787653300; 20434770000","Darboux Sums and the Sum of the Alternating Harmonic Series","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045987231&doi=10.1080%2f0025570X.2017.1408380&partnerID=40&md5=a00b3afa232f84ba8025493e36235a57","Taylor and Francis Inc."
"Ávila T.; Corberán Á.; Plana I.; Sanchis J.M.","Ávila, Thais (55154337900); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","55154337900; 6602151261; 8574390900; 20434770000","A branch-and-cut algorithm for the profitable windy rural postman problem","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951771971&doi=10.1016%2fj.ejor.2015.10.016&partnerID=40&md5=38726436cd19f8a445729ac5a5407a1e","Elsevier"
"Corberán A.; Plana I.; Rodríguez-Chía A.M.; Sanchis J.M.","Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Rodríguez-Chía, Antonio M. (6603120019); Sanchis, José M. (20434770000)","6602151261; 8574390900; 6603120019; 20434770000","A branch-and-cut algorithm for the maximum benefit Chinese postman problem","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884670230&doi=10.1007%2fs10107-011-0507-6&partnerID=40&md5=3f77e76e344bad2f9ad390d83f2861c5",""
"Corberán Á.; Plana I.; Reula M.; Sanchis J.M.","Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Reula, Miguel (57207842302); Sanchis, José M. (20434770000)","6602151261; 8574390900; 57207842302; 20434770000","A matheuristic for the Distance-Constrained Close-Enough Arc Routing Problem","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063025537&doi=10.1007%2fs11750-019-00507-3&partnerID=40&md5=29c9e10b9d5dcaefb8d839358a5dd615","Springer Nature"
"Corberán Á.; Golden B.; Lum O.; Plana I.; Sanchis J.M.","Corberán, Ángel (6602151261); Golden, Bruce (7102100272); Lum, Oliver (57193310542); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602151261; 7102100272; 57193310542; 8574390900; 20434770000","Aesthetic considerations for the min-max K-Windy Rural Postman Problem","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021773015&doi=10.1002%2fnet.21748&partnerID=40&md5=6553c7fc290871b974b57bac2c11a5d8","Wiley-Liss Inc."
"Corberán A.; Sanchis J.M.","Corberán, A. (6602151261); Sanchis, J.M. (20434770000)","6602151261; 20434770000","The general routing problem polyhedron: Facets from the RPP and GTSP polyhedra","1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032143226&doi=10.1016%2fS0377-2217%2896%2900337-2&partnerID=40&md5=3ba0ffbc91fa00d1921d7d5d36220c50","Elsevier"
"Landete M.; Plana I.; Sainz-Pardo J.L.; Sanchis J.M.","Landete, Mercedes (12243086300); Plana, Isaac (8574390900); Sainz-Pardo, José Luis (56538489300); Sanchis, José María (20434770000)","12243086300; 8574390900; 56538489300; 20434770000","Upgrading edges in the Graphical TSP","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164028610&doi=10.1016%2fj.cor.2023.106321&partnerID=40&md5=f67e1092d49c8803b5ecf3e032acb47f","Elsevier Ltd"
"Fernández De Córdoba P.; García Raffi L.M.; Sanchis J.M.","Fernández De Córdoba, P. (6603569996); García Raffi, L.M. (6602406968); Sanchis, J.M. (20434770000)","6603569996; 6602406968; 20434770000","A heuristic algorithm based on monte carlo methods for the rural postman problem","1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346367551&doi=10.1016%2fS0305-0548%2898%2900028-8&partnerID=40&md5=fa6e03061f81cc301e2267232792f499","Elsevier Ltd"
