"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Alegre C.; Fulga A.; Karapinar E.; Tirado P.","Alegre, Carmen (7003769450); Fulga, Andreea (57201976543); Karapinar, Erdal (16678995500); Tirado, Pedro (16426596600)","7003769450; 57201976543; 16678995500; 16426596600","A discussion on p-geraghty contraction on mw-quasi-metric spaces","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090584693&doi=10.3390%2fMATH8091437&partnerID=40&md5=4b58bbc59846c3905e0880c363013f30","MDPI AG"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","On fixed point theorems in intuitionistic fuzzy metric spaces","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249908666&partnerID=40&md5=e4990232e417b08067bd44f1cc600e19",""
"Castro-Company F.; Romaguera S.; Tirado P.","Castro-Company, Francisco (55972406100); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","55972406100; 7004365128; 16426596600","A fixed point theorem for preordered complete fuzzy quasi-metric spaces and an application","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899709128&doi=10.1186%2f1029-242X-2014-122&partnerID=40&md5=e41d2a428346ce7c664782f4e0b26f9d","Hindawi Publishing Corporation"
"Marín J.; Romaguera S.; Tirado P.","Marín, Josefa (7201368605); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7201368605; 7004365128; 16426596600","Weakly contractive multivalued maps and w-distances on complete quasi-metric spaces","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874605287&doi=10.1186%2f1687-1812-2011-2&partnerID=40&md5=12e7acf4b73ea758d5de01d72f0784b0","Hindawi Publishing Corporation"
"Tirado P.","Tirado, Pedro (16426596600)","16426596600","A new model based on a fuzzy quasi-metric type Baire applied to analysis of complexity","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908290840&doi=10.3233%2fIFS-141228&partnerID=40&md5=cee5c4adb281ff14846531590c8c19b1","IOS Press"
"Tirado P.","Tirado, Pedro (16426596600)","16426596600","On compactness and g-completeness in fuzzy metric spaces","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906303677&partnerID=40&md5=669729a0634d13972d3c92f0ef5f9eb5","University of Sistan and Baluchestan"
"Romaguera S.; Marín J.; Tirado P.","Romaguera, S. (7004365128); Marín, J. (7201368605); Tirado, P. (16426596600)","7004365128; 7201368605; 16426596600","Q -functions on quasimetric spaces and fixed points for multivalued maps","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954994419&doi=10.1155%2f2011%2f603861&partnerID=40&md5=45a9648e2a7a212ef2e480a997355552",""
"Castro-Company F.; Romaguera S.; Tirado P.","Castro-Company, F. (55972406100); Romaguera, S. (7004365128); Tirado, P. (16426596600)","55972406100; 7004365128; 16426596600","The bicompletion of fuzzy quasi-metric spaces","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751642146&doi=10.1016%2fj.fss.2010.12.004&partnerID=40&md5=7d34edfe8327687458727be8ae668b00",""
"Romaguera S.; Schellekens M.P.; Tirado P.; Valero O.","Romaguera, S. (7004365128); Schellekens, M.P. (7003762432); Tirado, P. (16426596600); Valero, O. (55959555900)","7004365128; 7003762432; 16426596600; 55959555900","On the domain of formal balls of the Sorgenfrey quasi-metric space","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953439469&doi=10.1016%2fj.topol.2015.12.086&partnerID=40&md5=3b90a2ba321e40009792dabea62ca7f3","Elsevier"
"Castro-Company F.; Tirado P.","Castro-Company, Francisco (55972406100); Tirado, Pedro (16426596600)","55972406100; 16426596600","On the bicompletion of intuitionistic fuzzy quasi-metric spaces","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975302395&partnerID=40&md5=a37409bd467f317137bc167fd62d1a17","University of Sistan and Baluchestan"
"Castro-Company F.; Romaguera S.; Tirado P.","Castro-Company, Francisco (55972406100); Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","55972406100; 7004365128; 16426596600","On the construction of metrics from fuzzy metrics and its application to the fixed point theory of multivalued mappings","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949513915&doi=10.1186%2fs13663-015-0476-1&partnerID=40&md5=3a11d17f65ddbfd3d4dc52fd38d84591","Springer International Publishing"
