"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Finite groups with two p-regular conjugacy class lengths","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037307106&doi=10.1017%2fs000497270003361x&partnerID=40&md5=e8238a0aab660b58b260a29b0baea292","Australian Mathematical Publishing Association"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Normal subgroups whose conjugacy class graph has diameter three","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961201842&doi=10.1017%2fS0004972715001860&partnerID=40&md5=90c565324792366e3da1c9d4d28362d9","Cambridge University Press"
"Felipe M.J.; Grittini N.; Sotomayor V.","Felipe, M.J. (7005750167); Grittini, N. (57211581685); Sotomayor, V. (57195401726)","7005750167; 57211581685; 57195401726","On zeros of irreducible characters lying in a normal subgroup","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078744593&doi=10.1007%2fs10231-020-00942-1&partnerID=40&md5=073b8b299d58414358b5700ebfd3f5e3","Springer"
"Beltrán A.; Felipe M.J.; Shao C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Shao, Changguo (24377078800)","7006241474; 7005750167; 24377078800","Class sizes of prime-power order p′-elements and normal subgroups","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939157139&doi=10.1007%2fs10231-014-0432-4&partnerID=40&md5=9cbb60d3a962006f8d554b1e20ea872d","Springer Verlag"
"Beltrán A.; Felipe M.J.; Shao C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Shao, Changguo (24377078800)","7006241474; 7005750167; 24377078800","P-divisibility of conjugacy class sizes and normal p-complements","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920937679&doi=10.1515%2fjgth-2014-0035&partnerID=40&md5=55aafed60925c3ea7ae6ae67cece0a97","Walter de Gruyter GmbH"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Cosets of normal subgroups and powers of conjugacy classes","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111873258&doi=10.1002%2fmana.201900554&partnerID=40&md5=6c14a58a35348a3a2e44b3ad465a3269","John Wiley and Sons Inc"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Some problems about products of conjugacy classes in finite groups","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084425611&doi=10.22108%2fijgt.2019.111448.1480&partnerID=40&md5=4b9f04a14448ae89a5a930ea2dc28d27","University of Isfahan"
"Alemany E.; Beltrán A.; Felipe M.J.","Alemany, Elena (6507588549); Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","6507588549; 7006241474; 7005750167","Nilpotency of normal subgroups having two G-class sizes","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955767300&doi=10.1090%2fS0002-9939-2010-10702-5&partnerID=40&md5=4c9f1d4ba7d781760ed42666623ffacf",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Variations on a theorem by Alan Camina on conjugacy class sizes","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30344450782&doi=10.1016%2fj.jalgebra.2005.06.031&partnerID=40&md5=0e898d1be90753f0da423a15b4a9c061","Academic Press Inc."
"Beltrn A.; Felipe M.J.","Beltrn, Antonio (7006241474); Felipe, Mari José (7005750167)","7006241474; 7005750167","Erratum: Some class size conditions implying solvability of finite groups (Journal of Group Theory (2006) 9 (787-797))","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052317097&doi=10.1515%2fJGT.2010.078&partnerID=40&md5=d9ec04777287a1fc0a45b81fcaec089d",""
