"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Hoyas S.; Mancho A.M.; Herrero H.; Garnier N.; Chiffaudel A.","Hoyas, S. (6508374001); Mancho, A.M. (6603836227); Herrero, H. (35609285600); Garnier, N. (7003798876); Chiffaudel, A. (6603424503)","6508374001; 6603836227; 35609285600; 7003798876; 6603424503","Bénard-Marangoni convection in a differentially heated cylindrical cavity","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444375497&doi=10.1063%2f1.1876892&partnerID=40&md5=b01298f29eea7cdf73a0a1616b8d29dd","American Institute of Physics Inc."
"Margot X.; Hoyas S.; Fajardo P.; Patouna S.","Margot, Xandra (56618792700); Hoyas, Sergio (6508374001); Fajardo, Pablo (24449439900); Patouna, Stavroula (35786348300)","56618792700; 6508374001; 24449439900; 35786348300","A moving mesh generation strategy for solving an injector internal flow problem","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955655928&doi=10.1016%2fj.mcm.2010.03.018&partnerID=40&md5=f13de64c6d776ac4ec618da5c83a85e4",""
"Margot X.; Hoyas S.; Fajardo P.; Patouna S.","Margot, X. (57202567404); Hoyas, Sergio (6508374001); Fajardo, P. (24449439900); Patouna, S. (35786348300)","57202567404; 6508374001; 24449439900; 35786348300","CFD study of needle motion influence on the exit flowconditions of single-hole injectors","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958129024&doi=10.1615%2fAtomizSpr.v21.i1.30&partnerID=40&md5=2de0b7827dcbc8b6d2ad69cdbccb757e","Begell House Inc."
"Salvador F.J.; Hoyas S.; Novella R.; Martinez-Lopez J.","Salvador, F.J. (35422557300); Hoyas, S. (6508374001); Novella, R. (12794691100); Martinez-Lopez, J. (35746257800)","35422557300; 6508374001; 12794691100; 35746257800","Numerical simulation and extended validation of two-phase compressible flow in diesel injector nozzles","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956087962&doi=10.1177%2f09544070JAUTO1569&partnerID=40&md5=d8e50e1240f062d840a023cf662e8c84","SAGE Publications Ltd"
"Hoyas S.; Pastor J.M.; Khuong-Anh D.; Mompó-Laborda J.M.; Ravet F.","Hoyas, Sergio (6508374001); Pastor, J.M. (56854904600); Khuong-Anh, Dung (54410708900); Mompó-Laborda, Juan Manuel (55001779000); Ravet, Frederic (41261996700)","6508374001; 56854904600; 54410708900; 55001779000; 41261996700","Evaluation of the Eulerian-Lagrangian spray atomisation (ELSA) in spray simulations","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857171550&doi=10.1504%2fIJVSMT.2011.044224&partnerID=40&md5=2beacee924e83712a8b9d88e40f3af2c","Inderscience Publishers"
"Martínez-Sánchez Á.; Lazpita E.; Corrochano A.; Le Clainche S.; Hoyas S.; Vinuesa R.","Martínez-Sánchez, Álvaro (57453699000); Lazpita, Eneko (57453710400); Corrochano, Adrián (57219110699); Le Clainche, Soledad (55466824600); Hoyas, Sergio (6508374001); Vinuesa, Ricardo (55553485100)","57453699000; 57453710400; 57219110699; 55466824600; 6508374001; 55553485100","Data-driven assessment of arch vortices in simplified urban flows","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146928283&doi=10.1016%2fj.ijheatfluidflow.2022.109101&partnerID=40&md5=1193b1aeacedb8a0f0a8f05e487775e4","Elsevier B.V."
"Alcántara-Ávila F.; Hoyas S.; Jezabel Pérez-Quiles M.","Alcántara-Ávila, Francisco (57202981276); Hoyas, Sergio (6508374001); Jezabel Pérez-Quiles, Mariá (37043796100)","57202981276; 6508374001; 37043796100","Direct numerical simulation of thermal channel flow for and","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104004773&doi=10.1017%2fjfm.2021.231&partnerID=40&md5=509a155c26643565214620ea3efc8dfe","Cambridge University Press"
"Alcántara-Ávila F.; Gandía-Barberá S.; Hoyas S.","Alcántara-Ávila, Francisco (57202981276); Gandía-Barberá, Sergio (57201700442); Hoyas, Sergio (6508374001)","57202981276; 57201700442; 6508374001","Evidences of persisting thermal structures in Couette flows","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062457302&doi=10.1016%2fj.ijheatfluidflow.2019.03.001&partnerID=40&md5=c62f1898b04d8b0224b31be45b82090a","Elsevier B.V."
"Kraheberger S.; Hoyas S.; Oberlack M.","Kraheberger, Stefanie (56350781300); Hoyas, Sergio (6508374001); Oberlack, Martin (6603567719)","56350781300; 6508374001; 6603567719","Dns of couette flows with wall transpiration up to Reτ = 1000","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022324095&doi=10.1007%2f978-3-319-57934-4_7&partnerID=40&md5=e1b95c229c559a649e6556c8a734a3bf","Springer Science and Business Media, LLC"
"Simens M.P.; Jiménez J.; Hoyas S.; Mizuno Y.","Simens, Mark P. (6507186193); Jiménez, Javier (7402489050); Hoyas, Sergio (6508374001); Mizuno, Yoshinori (36882213400)","6507186193; 7402489050; 6508374001; 36882213400","A high-resolution code for turbulent boundary layers","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64049090749&doi=10.1016%2fj.jcp.2009.02.031&partnerID=40&md5=6fef9dc487f3fc1d6fc4c747199b9fc2","Academic Press Inc."
"Escartí-Guillem M.S.; Garcia-Raffi L.M.; Hoyas S.","Escartí-Guillem, Mara S. (57211960009); Garcia-Raffi, Lluis Miguel (6602406968); Hoyas, Sergio (6508374001)","57211960009; 6602406968; 6508374001","Review of launcher lift-off noise prediction and mitigation","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201701536&doi=10.1016%2fj.rineng.2024.102679&partnerID=40&md5=69223b4c9a2da7ca3b4cbd1af13f6b95","Elsevier B.V."
"Pérez J.; Hoyas S.; Skuratov D.L.; Ratis Yu.L.; Selezneva I.A.; de Córdoba P.F.; Urchueguía J.F.","Pérez, J. (37043796100); Hoyas, S. (6508374001); Skuratov, D.L. (15763709900); Ratis, Yu.L. (6602659800); Selezneva, I.A. (15763548200); de Córdoba, P. Fernández (6603569996); Urchueguía, J.F. (8689245000)","37043796100; 6508374001; 15763709900; 6602659800; 15763548200; 6603569996; 8689245000","Heat transfer analysis of intermittent grinding processes","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45449103704&doi=10.1016%2fj.ijheatmasstransfer.2007.11.043&partnerID=40&md5=78c23ae07cd41461c038552a23107933",""
