"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Mayo P.; Rodenas F.; Campayo J.M.; Pascual A.; Marín B.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Campayo, J.M. (8686784100); Pascual, A. (57196738049); Marín, B. (57190244455); Verdú, G. (7004736632)","7006925548; 6602421280; 8686784100; 57196738049; 57190244455; 7004736632","Image quality assessment of digital dental radiography systems with specifically developed phantom and software","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350307168&doi=10.13182%2fNT09-A9133&partnerID=40&md5=19310488ba6903a6d39fef035ba3857e","American Nuclear Society"
"Conejero J.A.; Martínez-Giménez F.; Peris A.; Rodenas F.","Conejero, J.A. (57219968950); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254); Rodenas, F. (6602421280)","57219968950; 56595619300; 7004199254; 6602421280","Sets of periods for chaotic linear operators","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101023695&doi=10.1007%2fs13398-020-00996-z&partnerID=40&md5=52f1648a54be9c1241ab0e3ba1295f44","Springer-Verlag Italia s.r.l."
"Mayo P.; Rodenas F.; Campayo J.M.; Pascual A.; Marín B.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Campayo, J.M. (8686784100); Pascual, A. (57196738049); Marín, B. (57190244455); Verdú, G. (7004736632)","7006925548; 6602421280; 8686784100; 57196738049; 57190244455; 7004736632","Phantom development for constancy and acceptance test for digital radiographic equipment","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350331078&doi=10.13182%2fNT09-A9132&partnerID=40&md5=b06da159a43779e6d66efa82aa44d457","American Nuclear Society"
"Chaichian M.; de Azcárraga J.A.; Prešnajder P.; Ródenas F.","Chaichian, M. (8428168800); de Azcárraga, J.A. (7003501949); Prešnajder, P. (7003269733); Ródenas, F. (6602421280)","8428168800; 7003501949; 7003269733; 6602421280","Oscillator realization of the q-deformed anti-de Sitter algebra","1992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13644273921&doi=10.1016%2f0370-2693%2892%2991396-Q&partnerID=40&md5=11bd3909d8e45eee2c897f6e2f5bab53",""
"Bernardes N.C., Jr.; Peris A.; Rodenas F.","Bernardes, N.C. (10042189200); Peris, A. (7004199254); Rodenas, F. (6602421280)","10042189200; 7004199254; 6602421280","Set-Valued Chaos in Linear Dynamics","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026843879&doi=10.1007%2fs00020-017-2394-6&partnerID=40&md5=0a4bc1b19d9e8d282caafedf4fe8c635","Springer Basel"
"Mayo P.; Rodenas F.; Verdú G.; Campayo J.M.; Villaescusa J.I.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632); Campayo, J.M. (8686784100); Villaescusa, J.I. (6602631616)","7006925548; 6602421280; 7004736632; 8686784100; 6602631616","Analysis of digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61849125741&doi=10.1109%2fiembs.2008.4649179&partnerID=40&md5=f83081b4e03a9a02f6d4874359de9c84","IEEE Computer Society"
"Mayo P.; Rodenas F.; Ginestar D.; Verdú G.; Miró R.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Ginestar, D. (6701547781); Verdú, G. (7004736632); Miró, R. (7006218116)","7006925548; 6602421280; 6701547781; 7004736632; 7006218116","Diffusion equations with negentropy applied to denoise mammographic images","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047111753&doi=10.1109%2fIEMBS.2006.259489&partnerID=40&md5=fa7ec3842ba6599e3ed9951d3c35eb1f",""
"Mayo Nogueira P.; Rodenas F.; Marín B.; Campayo J.M.; Verdú G.","Mayo Nogueira, Patricia (59455182000); Rodenas, F. (6602421280); Marín, B. (24481674800); Campayo, J.M. (8686784100); Verdú, G. (7004736632)","59455182000; 6602421280; 24481674800; 8686784100; 7004736632","Analysis of digital radiographic equipments with development of specific phantoms and software","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350647610&doi=10.1007%2f978-3-540-89208-3_100&partnerID=40&md5=89e95c4801fd976f1367d90b168a466d",""
"Flores L.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.","Flores, Liubov (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdu, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","Iterative reconstruction of CT images with PETSc","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855780410&doi=10.1109%2fBMEI.2011.6098332&partnerID=40&md5=39b99b78f3d6f7aea6a5c269f4eb54c3",""
"Mayo P.; Ródenas F.; Verdú G.; Campayo J.M.; Gallardo S.","Mayo, P. (7006925548); Ródenas, F. (6602421280); Verdú, G. (7004736632); Campayo, J.M. (8686784100); Gallardo, S. (16642593400)","7006925548; 6602421280; 7004736632; 8686784100; 16642593400","Analysis of image quality parameter of conventional and dental radiographic digital images","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650825827&doi=10.1109%2fIEMBS.2010.5627182&partnerID=40&md5=bf6f212f929c3a13e401db3abc5798df",""
"Mayo P.; Rodenas F.; Verdú G.; Campayo J.M.; Villaescusa J.I.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632); Campayo, J.M. (8686784100); Villaescusa, J.I. (6602631616)","7006925548; 6602421280; 7004736632; 8686784100; 6602631616","Study of digital mammographic equipments by phantom image quality","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047103504&doi=10.1109%2fIEMBS.2006.259245&partnerID=40&md5=6bf7b25bfaff21189e8904f1a6a08241",""
"De Azcárraga J.A.; Kulish P.P.; Rodenas F.","De Azcárraga, J.A. (7003501949); Kulish, P.P. (7003915614); Rodenas, F. (6602421280)","7003501949; 7003915614; 6602421280","Quantum groups and deformed special relativity","1996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030524924&doi=10.1002%2fprop.2190440102&partnerID=40&md5=987166341bbdf481073338ae475120db","Wiley-VCH Verlag"
