title,journal,year
On p Dunford integrable functions with values in Banach spaces,Journal of Mathematical Analysis and Applications,2018.0
The Daugavet equation for bounded vector valued functions,The Rocky Mountain Journal of Mathematics,2017.0
Factorization theorems for homogeneous maps on Banach function spaces and approximation of compact operators,Mediterranean Journal of Mathematics,2015.0
Multiplication operators in Kothe Bochner spaces,Journal of Mathematical Analysis and Applications,2011.0
Weak continuity of Riemann integrable functions in Lebesgue Bochner spaces,Acta Mathematica Sinica English Series,2010.0
Asymmetric norms and optimal distance points in linear spaces,Topology,2008.0
Asymptotic domination of operators on Kothe function spaces and convergence of sequences,Mathematische Nachrichten,2006.0
Domination spaces and factorization of linear and multilinear summing operators,Quaestiones Mathematicae,2016.0
Strong extensions for q summing operators acting in p convex Banach function spaces for ,Positivity,2016.0
Kothe dual of Banach lattices generated by vector measures,Monatshefte fur Mathematik,2014.0
On completely continuous integration operators of a vector measure,,2014.0
Positive Representations of L1 of a Vector Measure,Positivity,2007.0
Dominated extensions of functionals and V convex functions of cancellative cones,Bulletin of the Australian Mathematical Society,2003.0
Didactica empirica de la forma molecular,Ensenanza de las ciencias: revista de investigacion y experiencias,1989.0
Eigenmeasures and stochastic diagonalization of bilinear maps,Mathematical Methods in the Applied Sciences,2021.0
Self defined information indices: application to the case of university rankings,Scientometrics,2020.0
Measuring Time Dynamics and Time Stability of Journal Rankings in Mathematics and Physics by Means of Fractional p Variations,,2017.0
Improving integrability via absolute summability: a general version of Diestel Theorem,Positivity,2016.0
Factorization theorems for multiplication operators on Banach function spaces,Integral Equations and Operator Theory,2014.0
Strongly embedded subspaces of p convex Banach function spaces,Positivity,2013.0
Algebra lineal y juegos de mesa,Conferencia,2013.0
Strong factorization of operators on spaces of vector measure integrable functions and unconditional convergence of series,Mathematische Zeitschrift,2007.0
A phenomenological model for sonic crystals based on artificial neural networks,The Journal of the Acoustical Society of America,2006.0
Extension of semi Lipschitz maps on non subadditive quasi metric spaces: New tools for Artificial Intelligence,Quaestiones Mathematicae,2024.0
Index spaces and standard indices in metric modelling,Vilnius University,2022.0
Closed surjective ideals of multilinear operators and interpolation,Banach Journal Of Mathematical Analysis,2021.0
Applications of blockchain technology in scientific documentation: current situation and perspectives,El Profesional de la Informacion,2019.0
Summability in of a vector measure,Mathematische Nachrichten,2017.0
Extending and factorizing bounded bilinear maps defined on order continuous Banach function spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2014.0
Domination and factorization of multilinear operators,Journal of Convex Analysis,2013.0
Interpolation subspaces of L 1 of a vector measure and norminequalities for the integration operator,Contemporary Mathematics,2012.0
First MPD Automated System Application in Offshore Gulf of Mexico Well Confirms Method Huge Benefits,SPE Latin America and Caribbean Petroleum Engineering Conference SPE ,2010.0
The Goldstine theorem for asymmetric normed linear spaces,Topology,2009.0
Rendimiento academico y modelos virtuales de ensenanza universitaria en Economia de la Empresa. Nuevos retos hacia la globalizacion docente en el marco del Espacio Europeo de,Estableciendo puentes en una economia global. Escuela Superior de Gestion,2008.0
On ultra products of some families of composition operators between certain finite dimensional lp spaces,Revista Colombiana de Matematicas,2001.0
A symmetric tensor norm extending the Hilbert Schmidt norm to the class of Banach spaces,Note di Matematica,1994.0
Didactica empirica de la congelacio de l aigua,Conferencia,1989.0
Estudi interdisciplinari de la congelacio de l aigua,Conferencia,1989.0
Extension procedures for lattice Lipschitz operators on Euclidean spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2023.0
Approximate diagonal integral representations and eigenmeasures for Lipschitz operators on Banach spaces,Mathematics Journal,2022.0
Modeling hospital resource management during the covid 19 pandemic: An experimental validation,Econometrics,2021.0
Extension of Lipschitz type operators on Banach function spaces,,2021.0
Maximal factorization of operators acting in Kothe Bochner spaces,The Journal of Geometric Analysis,2021.0
Integral representation of product factorable bilinear operators and summability of bilinear maps on C (K) spaces,Journal of Mathematical Analysis and Applications,2020.0
 Regularity and Weights for Operators Between  Spaces,Zeitschrift fur Analysis und ihre Anwendungen,2020.0
Representation and factorization theorems for almost Lp spaces,Indagationes Mathematicae,2019.0
Factorization of operators through Orlicz spaces,Bulletin of the Malaysian Mathematical Sciences Society,2017.0
Optimal extensions of compactness properties for operators on Banach function spaces,Topology,2016.0
Algebra lineal y descomposicion en valores singulares,Conferencia,2015.0
Neural network for estimating energy expenditure in paraplegics from heart rate,International journal of sports medicine,2014.0
Weak orthogonal sequences in  of a vector measure and the Menchoff Rademacher Theorem,Bulletin of the Belgian Mathematical Society Simon Stevin,2012.0
The p Daugavet property for function spaces,Archiv der Mathematik,2011.0
The geometry of Lp spaces over atomless measure spaces and the Daugavet property,Freie Univ. Fachbereich Mathematik und Informatik,2010.0
Metodos numericos con Mathematica,,2005.0
The complexity space of a valued linearly ordered set,Electronic Notes in Theoretical Computer Science,2003.0
The associated tensor norm to (q p) absolutely summing operators on C(K) Spaces,Czechoslovak Mathematical Journal,1997.0
Lipschitz (q p) Summing Maps from C(K) Spaces to Metric Spaces,The Journal of Geometric Analysis,2023.0
On vector measures with values in ,Arxiv preprint arXiv:,2023.0
When and where the Orlicz and Luxemburg (quasi ) norms are equivalent?,Journal of Mathematical Analysis and Applications,2020.0
Lorentz spaces of vector measures and real interpolation of operators,Quaestiones Mathematicae,2020.0
A class of summing operators acting in spaces of operators,Arxiv preprint arXiv:,2020.0
Factorization theorems for some new classes of multilinear operators,Asian Journal of Mathematics,2020.0
Local compactness in right bounded asymmetric normed spaces,Quaestiones Mathematicae,2018.0
Citations to arXiv preprints by indexed journals and their impact on research evaluation,Journal of Information Science Theory and Practice,2018.0
Tensor product representation of Kothe Bochner spaces and their dual spaces,Positivity,2016.0
Positively norming sets in Banach function spaces,Quarterly Journal of Mathematics,2014.0
The weak topology on q convex Banach function spaces,Mathematische Nachrichten,2012.0
Interpolation of vector measures,Acta Mathematica Sinica English Series,2011.0
Compactness properties of bounded subsets of spaces of vector measure integrable functions and factorization of operators,Applied General Topology,2005.0
Using neural networks and hierarchical cluster analysis to study goal kicks in football,International Journal of Sports Science & Coaching,2024.0
Singularity in higher education: Methods for detection and classification,Expert Systems,2024.0
Graph distances for determining entities relationships: a topological approach to fraud detection,International Journal of Information Technology & Decision Making,2023.0
Absolutely (q 1) summing operators acting in C(K) spaces and the weighted Orlicz property for Banach spaces,Positivity,2021.0
A Simple Proposal for Including Designer Preferences in Multi Objective Optimization Problems,Mathematics Journal,2021.0
McShane Whitney extensions for fuzzy Lipschitz maps,Fuzzy Sets and Systems,2021.0
Weighted  regular kernels for reproducing kernel Hilbert spaces and Mercer Theorem,Analysis and Applications,2020.0
Translation invariant maps on function spaces over locally compact groups,Journal of Mathematical Analysis and Applications,2019.0
Vector valued information measures and integration with respect to fuzzy vector capacities,Fuzzy Sets and Systems,2019.0
Equivalent norms in a Banach function space and the subsequence property,Arxiv preprint arXiv:,2018.0
Factorization of Lipschitz operators on Banach function spaces,Mathematical Inequalities and Applications,2018.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Revista internacional de transparencia e integridad,2018.0
Choquet type L1 spaces of a vector capacity,Fuzzy Sets and Systems,2017.0
Differentiability of  of a vector measure and applications to the Bishop Phelps Bollobas property,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2017.0
Factorization of (q p) summing polynomials through Lorentz spaces,Journal of Mathematical Analysis and Applications,2017.0
Vector valued impact measures and generation of specific indexes for research assessment,Scientometrics,2016.0
The Kothe dual of an abstract Banach lattice,Journal of Function Spaces,2013.0
Lattice Copies of l2  in L1 of a Vector Measure and Strongly Orthogonal Sequences,Journal of Function Spaces,2012.0
Redes neuronales y algoritmos geneticos en la docencia en las escuelas de ingenieros: Un problema practico de diseno de pantallas acusticas,Conferencia,2010.0
Ordered representations of spaces of integrable functions,Positivity,2009.0
Duality in spaces of p integrable functions with respect to a vector measure,Universitat Politecnica de Valencia,2009.0
Realidad y educacion: un modelo didactico para la catastrofe del Prestige,Conferencia,2008.0
Order properties and p metrics on Kothe function spaces,Houston J. Math,2006.0
Un modelo estocastico de propagacion de incendios forestales,Epsilon,2002.0
Un modelo simple de propagacion de incendios forestales con ecuaciones diferenciales ordinarias,Epsilon,2001.0
Curso de Practicas de Matematicas para primeros cursos de Ingenieria,Universidad Politecnica de Valencia,1997.0
Products and quotients of (p sigma) absolutely continuous operator ideals,Turkish Journal of Mathematics,1996.0
Lattice Lipschitz superposition operators on Banach function spaces,Journal of Mathematical Analysis and Applications,2025.0
A Bellman Ford Algorithm for the Path Length Weighted Distance in Graphs,Mathematics Journal,2024.0
Approximation of almost diagonal non linear maps by lattice Lipschitz operators,Bulletin of the Brazilian Mathematical Society New Series,2024.0
Optimal extensions of Lipschitz maps on metric spaces of measurable functions,Journal of Mathematical Analysis and Applications,2024.0
Lipschitz Transformations and maurey type non homogeneous integral inequalities for operators on banach function spaces,Mathematics Journal,2023.0
Measure Based Extension of Continuous Functions and p Average Slope Minimizing Regression,Axioms,2023.0
Algoritmos matematicos para una inteligencia artificial responsable etica y transparente,Revista valenciana destudis autonomics,2023.0
Representation of Lipschitz Maps and Metric Coordinate Systems,Mathematics Journal,2022.0
Vulnerability of Olive Municipalities in Southern Spain,Available at SSRN,2022.0
Govern obert i acces a la informacio: un estudi de cas sobre l impacte en l economia local,Bid Textos Universitaris de Biblioteconomia I Documentacio,2020.0
Power Aggregation of Pseudometrics and the McShane Whitney Extension Theorem for Lipschitz  Concave Maps,Acta Applicandae Mathematicae,2020.0
Evolution model for epidemic diseases based on the Kaplan Meier curve determination,Mathematics Journal,2020.0
Banach lattice structures and concavifications in banach spaces,Mathematics Journal,2020.0
Inter field nonlinear transformation of journal impact indicators: The case of the h index,Journal of Interdisciplinary Mathematics,2019.0
Factorization through Lorentz spaces for operators acting in Banach function spaces,Positivity,2019.0
Vector Measures with Values in l (infinity)(Gamma) and Interpolation of Banach Lattices,Journal of Convex Analysis,2018.0
Approximation of integration maps of vector measures and limit representations of Banach function spaces,Arxiv preprint arXiv:,2017.0
On the smoothness of  of a positive vector measure,Monatshefte fur Mathematik,2015.0
The lack of stability of the impact factor of the mathematical journals,,2015.0
 variations of vector measures with respect to vector measures and integral representation of operators,Banach Journal Of Mathematical Analysis,2015.0
Weak compactness and strongly summing multilinear operators,Arxiv preprint arXiv:,2013.0
A non linear approach to signal processing by means of vector measure orthogonal functions,Publications of the Research Institute for Mathematical Sciences,2013.0
On ultra products of some families of composition operators between certain finite dimensional lp spaces,Revista Colombiana de Matematicas,2001.0
Absolutely summing operators between Banach spaces of finite cotype,Extracta mathematicae,2000.0
Sobre algunas propiedades formales de los sistemas de representacion en quimica,Theoria: An International Journal for Theory History and Foundations of,1997.0
An estimate of the Banach Mazur distances between Hilbert spaces and Banach spaces,Rendiconti del Circolo Matematico di Palermo,1997.0
The  approximation property and the weak topology in tensor products of Banach spaces,Rendiconti del Seminario Matematico della Universita di Padova,1997.0
Graph distances for determining inter entities relations: a topological approach to fraud detection,,
Startup Survival Forecasting: A Multivariate AI Approach Based on Empirical Knowledge,Information,2025.0
Metric symmetry and distance distribution functions on graphs,Aequationes mathematicae,2025.0
Set Word Embeddings and Semantic Indices: A New Contextual Model for Empirical Language Analysis,Computers,2025.0
A Mathematical Model to Study Defensive Metrics in Football: Individual Collective and Game Pressures,Mathematics Journal,2024.0
Lattice Lipschitz operators on space,Arxiv preprint arXiv:,2024.0
Eccentric p Summing Lipschitz Operators and Integral Inequalities on Metric Spaces and Graphs,Axioms,2024.0
Perception and Reuse of Open Data in the Spanish University Teaching and Research Community,Data,2024.0
Nikishin theorem and factorization through Marcinkiewicz spaces,American Mathematical Society,2024.0
Guia practica� Como abrir los algoritmos publicos?. Recomendaciones para la implantacion de registros de algoritmos publicos,Universitat Politecnica de Valencia,2024.0
Moduli of Continuity in Metric Models and Extension of Livability Indices,Axioms,2024.0
Different perspectives on open data in agriculture: a case study on olive oil,No indexada,2024.0
Ensenanza del aprendizaje por refuerzo con un sencillo ejemplo de minimizacion de funciones,Universitat Politecnica de Valencia,2023.0
Isomorphic Copies of  in the Weighted Hardy Spaces on the Unit Disc,Journal of Fourier Analysis and Applications,2023.0
Equivalent quasi norms on generalized orlicz spaces.,Mathematical Inequalities & Applications,2023.0
Extension procedures for lattice Lipschitz operators on Euclidean spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2023.0
Equivalent quasi norms on generalized Orlicz spaces,Mathematical Inequalities & Applications,2023.0
A flow equation for dynamic graph control: applications to social network analysis,eurasian journal of mathematical and computer applications,2023.0
Digital technology GAFA companies and the changing business world: growth trends in the ethereal economy 20 years later,Technium Soc. Sci. J.,2023.0
Unbiased Indicators of Hospitals Occupancy during the COVID 19 Pandemic,Estudios DE Economia Aplicada,2022.0
Unbiased Indicators of Hospitals Occupancy during the COVID 19 Pandemic,Estudios DE Economia Aplicada,2022.0
Analisis de las barreras para la explotacion de los datos abiertos: estrategias y soluciones,,2022.0
Ideals of multilinear mappings via Orlicz spaces and translation invariant operators,Mathematische Nachrichten,2021.0
Modeling Hospital Resource Management during the COVID 19 Pandemic: An Experimental Validation,MDPI,2021.0
Jornada del Dia Internacional del Derecho a Saber 2021,,2021.0
Where should I submit my work for publication? An asymmetrical classification model to optimize choice,Journal of Classification,2020.0
Herramientas para la gestion sanitaria de la COVID 19 en el Area Metropolitana de Granada,,2020.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Encuentros multidisciplinares,2020.0
Govern obert i acces a la informacio: un estudi de cas sobre l impacte en l economia local,Bid Textos Universitaris de Biblioteconomia I Documentacio,2020.0
Completability and optimal factorization norms in tensor products of Banach function spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2019.0
Strong Factorizations of Operators with Applications to Fourier and Cesaro Transforms,Michigan Mathematical Journal,2019.0
Aplicaciones de la tecnologia blockchain en la documentacion cientifica: situacion actual y perspectivas,El Profesional de la Informacion,2019.0
Regular methods of summability and the weak  Fatou property in abstract Banach lattices of integrable functions,Bulletin of the Belgian Mathematical Society Simon Stevin,2018.0
Pietsch  Maurey  Rosenthal factorization of summing multilinear operators,Functiones et Approximatio Commentarii Mathematici,2018.0
Quasi pseudo metrics and extension of lipschitz type functions in machine learning,,2018.0
Dreaming machine learning: quasi distances and lipschitz extensions for modeling financial processes,,2018.0
Graph quasi distances and extension of semi lipschitz functions in machine learning,,2018.0
Aportaciones metodologicas para luchar contra el fraude: un reto multidisciplinar,Anuario ThinkEPI,2018.0
