title,journal,year
Schauder decompositions and the Grothendieck and Dunford-Pettis properties in Kothe echelon spaces of infinite order,Positivity,2007.0
On the three-space-problem for distinguished Frechet spaces,Bull. Soc. Roy. Sci. Liege,1990.0
-Spaces of type and,Note di Matematica,1990.0
Mean ergodic multiplication operators on weighted spaces of continuous functions,Mediterranean Journal of Mathematics,2018.0
The Cesaro operator in weighted l1 spaces,Mathematische Nachrichten,2018.0
Kothe coechelon spaces as locally convex algebras,Studia Math,2010.0
Projective limits of weighted (LB)-spaces of continuous functions,Archiv der Mathematik,2009.0
The canonical spectral measure in Kothe echelon spaces,Integral Equations and Operator Theory,2005.0
The dual of the space of holomorphic functions on locally closed convex sets,Publicacions Matematiques,2005.0
Weighted Laz-estimates for Bergman Projections,University of Helsinki. Department of Mathematics,2004.0
A question of D. Vogt on (LF)-spaces,Archiv der Mathematik,1993.0
On two classes of LF-spaces,Portugaliae Mathematica,1992.0
Completeness of the (LB)-spacesV C(X),Archiv der Mathematik,1991.0
Mean ergodicity and spectrum of the Cesaro operator on weighted  spaces,Positivity,2016.0
The Cesaro operator in growth Banach spaces of analytic functions,Integral Equations and Operator Theory,2016.0
The spectrum of Volterra operators on weighted spaces of entire functions,The Quarterly Journal of Mathematics,2015.0
Classical operators on the Hormander algebras,Discrete and Continuous Dynamical Systems,2015.0
Projective descriptions of weighted inductive limits: the vector-valued cases,Advances in the Theory of Frechet Spaces,1989.0
Representaciones de los espacios  y ,Collectanea Mathematica,1982.0
Mean ergodic composition operators on generalized Fock spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2020.0
Solid cores and solid hulls of weighted Bergman spaces,,2019.0
The Cesaro operator on power series spaces,Arxiv preprint arXiv:,2017.0
The division problem for tempered distributions of one variable,Journal of Functional Analysis,2012.0
Topological structure of the set of weighted composition operators on weighted Bergman spaces of infinite order,Integral Equations and Operator Theory,2009.0
Topologizable operators on locally convex spaces,Contemporary Mathematics,2007.0
Operadores y semigrupos de operadores en espacios de Frechet y espacios localmente convexos,Universitat Politecnica de Valencia,2004.0
Projective description of weighted (LF)-spaces of holomorphic functions on the disc,Proceedings of the Edinburgh Mathematical Society,2003.0
The range of non-surjective convolution operators on Beurling spaces,Glasgow Mathematical Journal,1996.0
Operator Spaces Containing c0 OR laz,Results in Mathematics,1995.0
Bounded sets in (LF)-spaces,American Mathematical Society,1995.0
Operators acting in the dual spaces of discrete Cesaro spaces,Monatshefte fur Mathematik,2020.0
Noncomplete Mackey topologies on Banach spaces,Bulletin of the Australian Mathematical Society,2010.0
Projective representations of spaces of quasianalytic functionals,Studia Math,2004.0
Distinguished subspaces and quotients of Kothe echelon spaces,Bull. Pol. Acad. Sci. Math,1991.0
Projective tensor products of distinguished Frechet spaces,Royal Irish Academy,1985.0
Some results on barreledness in projective tensor products,Mathematische Zeitschrift,1984.0
Dynamics of shift operators on non-metrizable sequence spaces,Revista Matematica Iberoamericana,2021.0
The Frechet spaces ces (p+) 1< p<az,Journal of Mathematical Analysis and Applications,2018.0
On the theorem of Borel for quasianalytic classes,Mathematica Scandinavica,2013.0
On the topological description of weighted inductive limits of spaces of holomorphic and harmonic functions,Archiv der Mathematik,1999.0
The density condition in subspaces and quotients of Frechet spaces,Monatshefte fur Mathematik,1994.0
The Frechet Schwartz algebra of uniformly convergent Dirichlet series,Proceedings of the Edinburgh Mathematical Society,2018.0
Quojections and the problem of topologies of Grothendieck,Note di Matematica,1991.0
A note on Taskinen's counterexamples on the problem of topologies of Grothendieck,Proceedings of the Edinburgh Mathematical Society,1989.0
The countable neighbourhood property and tensor products,Proceedings of the Edinburgh Mathematical Society,1985.0
Linear operators on the (LB)-sequence spaces ces (pa) 1< paz Descriptive topology and functional analysis. II,Springer,2019.0
Solid hulls of weighted Banach spaces of analytic functions on the unit disc with exponential weights,Arxiv preprint arXiv:,2017.0
Abelas functional equation and eigenvalues of composition operators on spaces of real analytic functions,Integral Equations and Operator Theory,2015.0
Shrinking and boundedly complete Schauder frames in Frechet spaces,Journal of Mathematical Analysis and Applications,2014.0
Uniform convergence and spectra of operators in a class of Frechet spaces,Abstract and Applied Analysis,2014.0
Operator-weighted composition operators between weighted spaces of vector-valued analytic functions,Annales Fennici Mathematici,2012.0
A problem on the structure of Frechet spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2010.0
Holomorphic functions on locally closed convex sets and projective descriptions,Bulletin of the Belgian Mathematical Society Simon Stevin,2003.0
Biduality in (LF)-spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2001.0
Operators of solution for convolution equations,Note di Matematica,1997.0
Quojections and projective tensor products,Archiv der Mathematik,1985.0
A note about a result of Eidelheit,Collectanea Mathematica,1982.0
Spectral properties of generalized Cesaro operators in sequence spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2023.0
On boundedness and compactness of Toeplitz operators in weighted H∞-spaces,Journal of Functional Analysis,2020.0
The spectrum of Volterra operators on Korenblum type spaces of analytic functions,Integral Equations and Operator Theory,2019.0
Frames and representing systems in Frechet spaces and their duals,,2017.0
Dynamics and spectrum of the Cesaro operator on ,Monatshefte fur Mathematik,2016.0
Abscissas of weak convergence of vector valued Dirichlet series,Journal of Functional Analysis,2015.0
Characterization of the convolution operators on quasianalytic classes of Beurling type that admit a continuous linear right inverse,Studia Math,2008.0
The canonical spectral measure and koothe function spaces,Quaestiones Mathematicae,2006.0
Ranges of vector measures in Frechet spaces,Indagationes Mathematicae,2000.0
Weighted spaces of holomorphic functions and sequence spaces,Note di Matematica,1997.0
Whitney's extension theorem for non-quasi-analytic classes of ultradifferentiable functions.,Extracta mathematicae,1990.0
On different types of non-distinguished Frechet spaces,Note di Matematica,1990.0
Hausdorff Operators on Weighted Banach Spaces of Type ,Complex Analysis and Operator Theory,2022.0
A note about the spectrum of composition operators induced by a rotation,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2020.0
Dynamics of the Volterra-type integral and differentiation operators on generalized Fock spaces,Results in Mathematics,2019.0
The Cesaro operator on duals of power series spaces of infinite type,Journal of Operator Theory,2018.0
