title,journal,year,otros_investigadores
Turbulent boundary layers and channels at moderate Reynolds numbers,Cambridge University Press,2010,Jiménez J.; Hoyas S.; Simens M.P.; Mizuno Y.
DNS of a turbulent Couette flow at constant wall transpiration up to Reτ = 1000,Cambridge University Press,2018,Kraheberger S.; Hoyas S.; Oberlack M.
ASDG - An AI-based framework for automatic classification of impact on the SDGs,Association for Computing Machinery,2022,Sanchez-Roncero A.; Garibo-I-Orts O.; Conejero J.A.; Eivazi H.; Rosenberg E.; Fuso-Nerini F.; Garcia-Martinez J.; Hoyas S.; Vinuesa R.
DNS of thermal channel flow up to Reτ=2000 for medium to low Prandtl numbers,Elsevier Ltd,2018,Alcántara-Ávila F.; Hoyas S.; Pérez-Quiles M.J.
Evaluation of the Eulerian-Lagrangian Spray Atomization (ELSA) model in spray simulations: 2D cases,,2013,Hoyas S.; Gil A.; Margot X.; Khuong-Anh D.; Ravet F.
Bifurcation diversity of dynamic thermocapillary liquid layers,,2002,Hoyas S.; Herrero H.; Mancho A.M.
Wall turbulence at high friction Reynolds numbers,American Physical Society,2022,Hoyas S.; Oberlack M.; Alcántara-Ávila F.; Kraheberger S.V.; Laux J.
Validation of symmetry-induced high moment velocity and temperature scaling laws in a turbulent channel flow,American Physical Society,2024,Alcántara-Ávila F.; García-Raffi L.M.; Hoyas S.; Oberlack M.
Reynolds number effects on the Reynolds-stress budgets in turbulent channels,American Institute of Physics Inc.,2008,Hoyas S.; Jiménez J.
Nonlinear plane waves in a long-wavelength convection model,World Scientific Publishing Co. Pte Ltd,2001,Mancho A.M.; Vázquez L.; Herrero H.; Hoyas S.
Stratification effect on extreme-scale rolls in plane Couette flows,American Physical Society,2021,Gandiá-Barberá S.; Alcántara-Ávila F.; Hoyas S.; Avsarkisov V.
Mathematical modeling of Ru(VI)-catalyzed oxidation of alcohols by hexacyanoferrate(III),,2007,Sánchez O.; Herrero H.; Hoyas S.; Mucientes A.E.
Influence of the computational domain on DNS of turbulent heat transfer up to Reτ=2000 for Pr=0.71,Elsevier Ltd,2018,Lluesma-Rodríguez F.; Hoyas S.; Perez-Quiles M.J.
A sparse mesh for Compact Finite Difference - Fourier solvers with radius-dependent spectral resolution in circular domains,,2014,Torregrosa A.J.; Hoyas S.; Gil A.; Galache J.P.G.
CFD simulation of a hyperloop capsule inside a closed environment,Elsevier B.V.,2021,Lluesma-Rodríguez F.; González T.; Hoyas S.
Recent Lessons From Computations in Wall-Bounded Turbulence for Pipes and Channels,Springer Science and Business Media Deutschland GmbH,2024,Nagib H.; Baxerres V.; Vinuesa R.; Hoyas S.
Aim in Climate Change and City Pollution,Springer International Publishing,2022,Torres P.; Sirmacek B.; Hoyas S.; Vinuesa R.
Turbulent fluctuations above the buffer layer of wall-bounded flows,Cambridge University Press,2008,Jiménez J.; Hoyas S.
Bifurcation diversity in an annular pool heated from below: Prandtl and biot numbers effects,Global Science Press,2013,Torregrosa A.J.; Hoyas S.; Perez-Quiles M.J.; Mompo-Laborda J.M.
Two-dimensional compact-finite-difference schemes for solving the bi-laplacian operator with homogeneous wall-normal derivatives,MDPI,2021,Amo-Navarro J.; Vinuesa R.; Conejero J.A.; Hoyas S.
Erratum: New scaling laws for turbulent Poiseuille flow with wall transpiration (Journal of Fluid Mechanics (2014) 751 (746) DOI: 10.1017/jfm.2014.98)),Cambridge University Press,2014,Avsarkisov V.; Oberlack M.; Hoyas S.
