"title","journal","year","otros_investigadores"
"Imaging Ultrafast Light-Matter Interaction with Inverse Raman Scattering","Optical Sensors, JM",2014,"S Minardi;D Majus;A Gopal;G Tamošauskas;C Milián;A Couairon;..."
"Study of the interaction between multiple filaments in air","CLEO: QELS_Fundamental Science, FTu",2014,"G Point;Y Brelet;A Houard;V Jukna;C Milián;J Carbonnel;A Couairon;..."
"Nonlinear energy deposition in water from fs-laser pulses: effect of the input chirp","Nonlinear Optics and Its Applications VIII; and Quantum Optics III",2014,"C Milián;A Jarnac;Y Brelet;V Jukna;A Houard;A Mysyrowicz;..."
"Maxwell's equations approach to soliton excitations of surface plasmonic resonances","arXiv preprint arXiv:",2012,"C Milián;DE Ceballos-Herrera;DV Skryabin;A Ferrando"
"Optimisation of nonlinear photonic devices: design of optical fibre spectra and plasmonic systems","Universitat Politècnica de València",2012,"C Milián Enrique"
"C. Milián, DE Ceballos-Herrera, DV Skryabin, and A. Ferrando, Opt. Lett. 37, 4221 (2012).","Opt. Lett.",2012,"C Milián"
"Novel properties of soliton-plasmon interactions","",2011,"DE Ceballos-Herrera;J Sánchez-Mondragón;A Alejo-Molina;..."
"Properties of 1D soliton-plasmon interactions","Frontiers in Optics, JWA",2011,"MA Fuentes-Fuentes;G López-Galmiche;A Vázquez-Guardado;..."
"Stability of soliplasmon excitations at metal/dielectric interfaces","",2011,"A Ferrando;C Milián;D Ceballos;DV Skryabin"
"Modeling nonlinear waves in photonics, plasmonics and cold atoms","Óptica pura y aplicada. Revista en español de óptica y fotónica",2011,"A Ferrando;C Milián;D Ceballos;I Orquín;MÁ García March;..."
"Curved and self-healing electric discharges","",NA,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;DN Christodoulides;..."
"Bending Electric Discharges with Lasers","",NA,"M Clerici;Y Hu;P Lassonde;C Milián;A Couairon;DN Christodoulides;..."
"Filamentation of TW Ultra-Short Laser Pulse in Water","",NA,"V Jukna;C Milian;R Guillermin;JP Sessarego;D Fattaccioli;..."
"Energy Deposition and Acoustic Wave Generation through Femtosecond Filamentation of a TW Laser Pulse","",NA,"G Point;C Milian;V Jukna;A Couairon;A Mysyrowicz;A Houard"
"Soliplasmon resonances at metal-dielectric interfaces","Book of abstracts. Quodons in Mica",NA,"A Ferrando;C Milián;DE Ceballos-Herrera;DV Skryabin"
