"title","journal","year","otros_investigadores"
"Thermodynamic efficiency of solar photovoltaic modules","Environmental Engineering and Management Journal",2015,"D Rusirawan;I Farkas"
"Integration with respect to a vector measure and function approximation","Abstract and Applied Analysis",2000,"Garcia_Raffi;L. M.;Ginestar;D.;Sánchez-Pérez"
"Analysis of the wave propagation properties of a periodic array of rigid cylinders perpendicular to a finite impedance surface","Europhysics Letters",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Commutative sequences of integrable functions and best approximation with respect to the weighted vector measure distance","Integral Equations and Operator Theory",2006,"LMG Raffi;EAS Pérez;JVS Pérez"
"Normed semialgebras: a mathematical model for the complexity analysis of programs and algorithms","Proc.",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez;O Valero"
"URANS analysis of a launch vehicle aero-acoustic environment","Applied Sciences",2022,"MS Escartí-Guillem;LM García-Raffi;S Hoyas"
"Asymmetric propagation using enhanced self-demodulation in a chirped phononic crystal","AIP Advances",2016,"A Cebrecos;N Jiménez;V Romero-García;R Pico;VJ Sánchez-Morcillo;..."
"Noise certification of a sonic crystal acoustic screen designed using a triangular lattice according to the standards EN 1793 (-1;-2;-3)","EuroNoise, Maastricht",2015,"JV Sánchez-Pérez;CR Michavila;LM García-Raffi;V Romero-Garcia;..."
"Estrategias de aprendizaje basadas en la modelización matemática en Educación Secundaria Obligatoria","XV JAEM",2011,"JV Gómez Urgellés;L Garcia Rafi;L Sierra Galdón;J Blanco"
"Vector measure orthonormal systems and self-weighted functions approximation","Publications of the Research Institute for Mathematical Sciences",2005,"LM García-Raffi;D Ginestar;EAS Pérez"
"Las prácticas de modelización físico-matemática: innovación universitaria desde un punto de vista internacional","Uno: Revista de didáctica de las matematicas",2002,"EAS Pérez;JVS Pérez;F de Campo;LM García"
"Stealth and equiluminous materials for scattering cancellation and wave diffusion","Waves in Random and Complex Media",2024,"S Kuznetsova;JP Groby;LM Garcia-Raffi;V Romero-García"
"Nonlinear self-collimated sound beams in sonic crystals","Physical Review B",2015,"EM Hamham;N Jimenez;R Picó;VJ Sanchez-Morcillo;LM García-Raffi;..."
"Asymmetric Norms and the dual complexity spaces","Universitat Politècnica de València",2008,"LM García Raffi"
"Asymmetric norms and optimal distance points in linear spaces","Topology and its Applications",2008,"LMG Raffi;EAS Pérez"
"Properties of the 6− β-decaying isomer","Zeitschrift für Physik A Hadrons and Nuclei",1996,"A Gadea;B Rubio;JL Taín;J Rico;J Bea;LM García-Raffi;P Kleinheinz;..."
"Tracking turbulent coherent structures by means of neural networks","Energies",2021,"JJ Aguilar-Fuertes;F Noguero-Rodríguez;JC Jaen Ruiz;LM García-RAffi;..."
"Kinks in a Lattice of Repelling Particles: Experimental Study with a Chain of Coupled Pendulums","Nonlinear Systems, Vol.",2018,"A Mehrem;LJ Salmerón-Contreras;N Jiménez;VJ Sánchez-Morcillo;..."
"An application of bilinear integration to quantum scattering","Journal of Mathematical Analysis and Applications",2014,"LM García-Raffi;B Jefferies"
"Sonic crystal acoustic barriers based on scatterers with added acoustical properties","INTER-NOISE and NOISE-CON Congress and Conference Proceedings",2010,"V Romero-García;E Ruster-Garcia;JV Sánchez-Pérez;LM Garcia-Raffi"
"Obtenció dels modes de resonancia a una geometria complexa: proposta didàctica de modelització amb elements finits","Modelling in Science Education and Learning",2009,"E Fuster-García;LM García-Raffi;V Romero-García"
"High optimization process for increasing the attenuation properties of acoustic metamaterials by means of the creation of defects","Applied Physics Letters",2008,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi;JM Herrero;..."
"A study of the mesh effect on a rocket plume simulation","Results in Engineering",2022,"FN Ramírez;MS Escarti-Guillem;LM García-Raffi;S Hoyas"
"Los estudios de matemáticas en el ámbito universitario","D. Martín de Diego, T. Chacón Rebollo, G. Curbera Costello, F. Marcellán …",2020,"LJ Rodríguez-Muñiz;R Crespo;I Díaz;M Fioravanti;LM García-Raffi;..."
"Matrix formulation in Acoustics: The transfer matrix method","Modelling in Science Education and Learning",2019,"I Herrero Durá;A Cebrecos Ruiz;LM García Raffi;V Romero-García"
"La modelización como competencia transversal en el sistema educativo español","UNO. Revista de didáctica de las matemáticas",2015,"JM Calabuig;I Ferrando Palomares;C Gallart-Palau;LM García-Raffi;..."
"Álgebra lineal y juegos de mesa","Modelling in Science Education and Learning",2013,"JM Calabuig;LM Garcia-Raffi;EA Sánchez-Pérez"
"Analysis of oscillations in a cableway: wind load effects","Modelling in Science Education and Learning",2013,"J Gustincic;LM Garcia-Raffi"
"Design of wideband attenuation devices based on Sonic Crystals made of multi-phenomena scatterers","Acoustics",2012,"V Romero-García;S Castineira-Ibanez;JV Sanchez-Perez;..."
"Genetic algorithm in the optimization of the acoustic attenuation systems","International Work-Conference on Artificial Neural Networks",2007,"V Romero-García;E Fuster-García;JV Sánchez-Pérez;LM Garcia-Raffi;..."
"Interferometric method of determining the refraction index of two-dimensional sonic crystals","Physical Review B—Condensed Matter and Materials Physics",2007,"V Romero-García;E Fuster-Garcia;LM García-Raffi;JV Sánchez-Pérez;..."
"A phenomenological model for sonic crystals based on artificial neural networks","The Journal of the Acoustical Society of America",2006,"E Fuster-Garcia;V Romero-Garcia;JVS Pérez;LM Garcia-Raffi;..."
"Métodos de Simulación Monte Carlo y sus aplicaciones","Valencia, España: Universidad Politécnica de Valencia",2000,"R Carrasco;PF de Córdoba;L García-Raffi;J Sanchís"
"Elastodynamical properties of Sturmian structured media","Journal of Sound and Vibration",2022,"M Lázaro;A Niemczynowicz;A Siemaszko;LM García-Raffi"
"The Goldstine theorem for asymmetric normed linear spaces","Topology and its Applications",2009,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Nuclear structure of 231Ac","Nuclear Physics A",2008,"R Boutami;MJG Borge;H Mach;W Kurcewicz;LM Fraile;K Gulda;AJ Aas;..."
