"title","journal","year","otros_investigadores"
"Advanced Noise Filtering Techniques with Horizontal Visibility Graphs and LogNNet: A Study on White Noise Suppression","",2025,"A Velichko;JA Conejero;Y Izotov;VT Pham"
"Higher-Order Spectral Analysis and Artificial Intelligence for Diagnosing Faults in Electrical Machines: An Overview","Mathematics",2024,"ME Iglesias Martínez;JA Antonino-Daviu;L Dunai;JA Conejero;..."
"Qualitative Analysis of Stochastic Caputo–Katugampola Fractional Differential Equations.","Axioms",2024,"ZA Khan;MI Liaqat;A Akgül;JA Conejero"
"Predictive deep learning models for analyzing discrete fractional dynamics from noisy and incomplete data","Chinese Journal of Physics",2024,"Ò Garibo-i-Orts;C Lizama;A Akgül;JA Conejero"
"Visualizing Academic Contributions to Achieving the Sustainable Development Goals through AI: The Case of Universitat Politècnica de València","ACS Sustainable Resource Management",2024,"D Domingo-Calabuig;S Hoyas;R Vinuesa;JA Conejero"
"Two-dimensional frequency combs and photonic snakes in cylindrical microresonators","Laser Resonators, Microresonators, and Beam Control XXVI, PC",2024,"SB Ivars;YV Kartashov;PF Córdoba;JA Conejero;L Torner;CM i Enrique"
"Stock volatility as an anomalous diffusion process","AIMS Mathematics",2024,"RV Arévalo;JA Conejero;Ò Garibo-i-Orts;A Peris"
"Analytical study of a Hepatitis B epidemic model using a discrete generalized nonsingular kernel","AIMS Mathematics",2024,"M Farman;A Akgül;JA Conejero;A Shehzad;KS Nisar;D Baleanu"
"Predicting COVID-19 pandemic waves including vaccination data with deep learning","Frontiers in Public Health",2023,"A Begga;Ò Garibo-i-Orts;S de María-García;F Escolano;MA Lozano;..."
"Multifractal Spectrum and Complex Cepstrum Analysis of Armature Currents and Stray Flux Signals for Sparking Detection in DC Motors","IEEE Transactions on Industry Applications",2023,"J Guerra-Carmenate;MEI Martínez;PMV Pla;JAA Daviu;L Dunai;..."
"Artificial intelligence reveals human biases in sustainability research","",2023,"P Varelas;F Larosa;S Hoyas;JA Conejero;F Contino;F Fuso-Nerini;..."
"Frequency Combs and Photonic Snakes","European Quantum Electronics Conference, ef_",2023,"SB Ivars;YV Kartashov;PF De Córdoba;JA Conejero;L Torner;C Milián"
"Bright and dark solitons in pure quartic Kerr resonators","European Quantum Electronics Conference, ef_p_",2023,"P Parra-Rivas;S Hetzel;YV Kartashov;PF De Córdoba;JA Conejero;..."
"EP10. 01-017 Use of Lalaby in Lung Cancer Patients to Trace Performance from Phone Sensors and Reported Outcomes Involving Quality of Life","Journal of Thoracic Oncology",2022,"T Soria-Comes;S Asensio–Cuesta;I Maestu-Maiques;Á Sánchez–García;..."
