"title","journal","year","otros_investigadores"
"Interferometric method of determining the refraction index of two-dimensional sonic crystals","Physical Review B—Condensed Matter and Materials Physics",2007,"V Romero-García;E Fuster-Garcia;LM García-Raffi;JV Sánchez-Pérez;..."
"A phenomenological model for sonic crystals based on artificial neural networks","The Journal of the Acoustical Society of America",2006,"E Fuster-Garcia;V Romero-Garcia;JVS Pérez;LM Garcia-Raffi;..."
"Soft solid subwavelength plates with periodic inclusions: Effects on acoustic Transmission Loss","Journal of Sound and Vibration",2024,"N Aberkane-Gauthier;V Romero-García;D Lecoq;M Molerón;..."
"Fabrication and characterization of 3D printed thin plates for acoustic metamaterials applications","IEEE Sensors Journal",2019,"C Casarini;V Romero-García;JP Groby;B Tiller;JFC Windmill;..."
"RAINBOW-TRAPPING ABSORBERS FOR TRANSMISSION PROB-LEMS: BROADBAND AND PERFECT SOUND ABSORBING PANELS.","Proceedings of",2017,"N Jimenez;V Romero-García;V Pagneux;JP Groby"
"Molding the acoustic attenuation in quasi-ordered structures: experimental realization","Applied physics express",2012,"V Romero-Garcia;JV Sánchez-Pérez;LM Garcia-Raffi"
"Acoustic barriers based on sonic crystals","International Design Engineering Technical Conferences and Computers and …",2007,"V Romero-Garci´ a;E Fuster-Garcia;LM Garci´ a-Raffi;..."
"Optimal absorption of flexural energy in thin plates by critically coupling a locally resonant grating","Waves in Random and Complex Media",2024,"J Leng;V Romero-García;F Gautier;A Pelat;R Pico;JP Groby"
"Slow-sound-based delay-line acoustic metamaterial","Physical Review Applied",2022,"M Malléjac;P Sheng;V Tournat;V Romero-García;JP Groby"
"Fundamentals and Applications of Acoustic Metamaterials: From Seismic to Radio Frequency","ISTE, Limited",2019,"VR Garcia;AC Hladky-Hennion"
"Perfect and broadband acoustic absorption in deep sub-wavelength structures for the reflection and transmission problems","The Journal of the Acoustical Society of America",2017,"V Romero-García;N Jiménez;V Pagneux;JP Groby"
